Datum Zeit,Dresden-Winckelmannstr. FEUCHT
,PROZ
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,58.0
30-09-18 09:00,66.1
30-09-18 08:00,77.7
30-09-18 07:00,83.7
30-09-18 06:00,83.7
30-09-18 05:00,82.8
30-09-18 04:00,81.9
30-09-18 03:00,81.0
30-09-18 02:00,79.0
30-09-18 01:00,78.9
30-09-18 00:00,77.4
29-09-18 23:00,78.1
29-09-18 22:00,79.1
29-09-18 21:00,75.6
29-09-18 20:00,71.3
29-09-18 19:00,62.1
29-09-18 18:00,51.7
29-09-18 17:00,44.0
29-09-18 16:00,42.0
29-09-18 15:00,42.4
29-09-18 14:00,45.5
29-09-18 13:00,50.6
29-09-18 12:00,58.8
29-09-18 11:00,65.2
29-09-18 10:00,70.6
29-09-18 09:00,75.3
29-09-18 08:00,83.0
29-09-18 07:00,85.1
29-09-18 06:00,83.9
29-09-18 05:00,83.1
29-09-18 04:00,81.4
29-09-18 03:00,79.8
29-09-18 02:00,77.3
29-09-18 01:00,75.3
29-09-18 00:00,73.0
28-09-18 23:00,66.6
28-09-18 22:00,63.2
28-09-18 21:00,58.1
28-09-18 20:00,54.7
28-09-18 19:00,57.3
28-09-18 18:00,59.3
28-09-18 17:00,70.4
28-09-18 16:00,79.0
28-09-18 15:00,82.8
28-09-18 14:00,89.2
28-09-18 13:00,88.2
28-09-18 12:00,77.4
28-09-18 11:00,66.6
28-09-18 10:00,58.8
28-09-18 09:00,69.1
28-09-18 08:00,85.3
28-09-18 07:00,89.8
28-09-18 06:00,89.3
28-09-18 05:00,87.6
28-09-18 04:00,86.6
28-09-18 03:00,85.2
28-09-18 02:00,82.2
28-09-18 01:00,76.5
28-09-18 00:00,73.3
27-09-18 23:00,75.2
27-09-18 22:00,77.8
27-09-18 21:00,82.5
27-09-18 20:00,78.3
27-09-18 19:00,71.3
27-09-18 18:00,65.6
27-09-18 17:00,57.4
27-09-18 16:00,55.5
27-09-18 15:00,55.8
27-09-18 14:00,56.9
27-09-18 13:00,58.0
27-09-18 12:00,56.8
27-09-18 11:00,55.8
27-09-18 10:00,52.8
27-09-18 09:00,50.0
27-09-18 08:00,45.0
27-09-18 07:00,40.5
27-09-18 06:00,39.3
27-09-18 05:00,37.2
27-09-18 04:00,37.0
27-09-18 03:00,37.6
27-09-18 02:00,50.1
27-09-18 01:00,59.9
27-09-18 00:00,61.6
