Datum Zeit,Leipzig-West FEUCHT
,PROZ
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,88.4
30-09-18 03:00,86.5
30-09-18 02:00,84.7
30-09-18 01:00,82.8
30-09-18 00:00,81.9
29-09-18 23:00,79.2
29-09-18 22:00,75.9
29-09-18 21:00,72.0
29-09-18 20:00,68.8
29-09-18 19:00,63.4
29-09-18 18:00,53.5
29-09-18 17:00,46.8
29-09-18 16:00,46.3
29-09-18 15:00,47.3
29-09-18 14:00,47.2
29-09-18 13:00,53.7
29-09-18 12:00,58.0
29-09-18 11:00,62.9
29-09-18 10:00,71.6
29-09-18 09:00,79.4
29-09-18 08:00,86.7
29-09-18 07:00,89.5
29-09-18 06:00,87.6
29-09-18 05:00,86.5
29-09-18 04:00,83.4
29-09-18 03:00,79.4
29-09-18 02:00,75.8
29-09-18 01:00,71.5
29-09-18 00:00,67.6
28-09-18 23:00,66.3
28-09-18 22:00,64.2
28-09-18 21:00,63.4
28-09-18 20:00,55.8
28-09-18 19:00,50.5
28-09-18 18:00,45.6
28-09-18 17:00,43.3
28-09-18 16:00,46.7
28-09-18 15:00,48.5
28-09-18 14:00,53.8
28-09-18 13:00,71.7
28-09-18 12:00,89.6
28-09-18 11:00,90.7
28-09-18 10:00,76.9
28-09-18 09:00,64.4
28-09-18 08:00,61.8
28-09-18 07:00,71.4
28-09-18 06:00,73.9
28-09-18 05:00,67.3
28-09-18 04:00,61.3
28-09-18 03:00,57.2
28-09-18 02:00,57.4
28-09-18 01:00,59.5
28-09-18 00:00,54.8
27-09-18 23:00,52.2
27-09-18 22:00,49.6
27-09-18 21:00,67.2
27-09-18 20:00,74.2
27-09-18 19:00,66.7
27-09-18 18:00,55.8
27-09-18 17:00,48.0
27-09-18 16:00,50.6
27-09-18 15:00,54.8
27-09-18 14:00,55.4
27-09-18 13:00,57.2
27-09-18 12:00,56.4
27-09-18 11:00,56.5
27-09-18 10:00,57.9
27-09-18 09:00,55.9
27-09-18 08:00,56.4
27-09-18 07:00,55.8
27-09-18 06:00,55.8
27-09-18 05:00,50.4
27-09-18 04:00,48.4
27-09-18 03:00,49.7
27-09-18 02:00,54.5
27-09-18 01:00,57.5
27-09-18 00:00,58.0
26-09-18 23:00,56.4
26-09-18 22:00,57.7
