Datum Zeit,Leipzig-Mitte FEUCHT
,PROZ
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,66.8
30-09-18 21:00,61.5
30-09-18 20:00,55.3
30-09-18 19:00,47.5
30-09-18 18:00,37.9
30-09-18 17:00,32.2
30-09-18 16:00,30.0
30-09-18 15:00,29.1
30-09-18 14:00,29.9
30-09-18 13:00,33.8
30-09-18 12:00,42.6
30-09-18 11:00,48.1
30-09-18 10:00,47.7
30-09-18 09:00,58.9
30-09-18 08:00,62.6
30-09-18 07:00,73.7
30-09-18 06:00,75.5
30-09-18 05:00,76.2
30-09-18 04:00,75.4
30-09-18 03:00,73.6
30-09-18 02:00,70.6
30-09-18 01:00,64.7
30-09-18 00:00,64.8
29-09-18 23:00,61.6
29-09-18 22:00,60.6
29-09-18 21:00,60.9
29-09-18 20:00,56.3
29-09-18 19:00,52.4
29-09-18 18:00,48.8
29-09-18 17:00,43.6
29-09-18 16:00,39.9
29-09-18 15:00,41.4
29-09-18 14:00,45.3
29-09-18 13:00,51.6
29-09-18 12:00,57.6
29-09-18 11:00,58.0
29-09-18 10:00,60.9
29-09-18 09:00,74.2
29-09-18 08:00,75.2
29-09-18 07:00,82.2
29-09-18 06:00,83.1
29-09-18 05:00,79.4
29-09-18 04:00,76.2
29-09-18 03:00,74.9
29-09-18 02:00,71.4
29-09-18 01:00,68.5
29-09-18 00:00,65.7
28-09-18 23:00,62.4
28-09-18 22:00,56.2
28-09-18 21:00,53.0
28-09-18 20:00,49.9
28-09-18 19:00,43.0
28-09-18 18:00,40.1
28-09-18 17:00,40.4
28-09-18 16:00,44.3
28-09-18 15:00,43.7
28-09-18 14:00,47.3
28-09-18 13:00,65.6
28-09-18 12:00,85.5
28-09-18 11:00,89.9
28-09-18 10:00,79.1
28-09-18 09:00,62.5
28-09-18 08:00,61.4
28-09-18 07:00,67.9
28-09-18 06:00,63.9
28-09-18 05:00,60.7
28-09-18 04:00,59.2
28-09-18 03:00,57.1
28-09-18 02:00,55.1
28-09-18 01:00,53.8
28-09-18 00:00,52.2
27-09-18 23:00,50.3
27-09-18 22:00,47.3
27-09-18 21:00,49.8
27-09-18 20:00,64.2
27-09-18 19:00,57.7
27-09-18 18:00,51.7
27-09-18 17:00,47.5
27-09-18 16:00,49.8
27-09-18 15:00,52.0
27-09-18 14:00,52.6
27-09-18 13:00,56.5
27-09-18 12:00,56.6
27-09-18 11:00,56.9
27-09-18 10:00,55.0
27-09-18 09:00,54.9
27-09-18 08:00,53.7
27-09-18 07:00,53.8
27-09-18 06:00,52.5
27-09-18 05:00,51.7
27-09-18 04:00,50.8
27-09-18 03:00,51.6
27-09-18 02:00,52.5
