Datum Zeit,Glauchau WINDRI
,GRAD
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,342
30-09-18 15:00,340
30-09-18 14:00,331
30-09-18 13:00,351
30-09-18 12:00,10
30-09-18 11:00,62
30-09-18 10:00,263
30-09-18 09:00,168
30-09-18 08:00,173
30-09-18 07:00,187
30-09-18 06:00,220
30-09-18 05:00,181
30-09-18 04:00,106
30-09-18 03:00,134
30-09-18 02:00,171
30-09-18 01:00,163
30-09-18 00:00,188
29-09-18 23:00,199
29-09-18 22:00,224
29-09-18 21:00,27
29-09-18 20:00,29
29-09-18 19:00,62
29-09-18 18:00,36
29-09-18 17:00,34
29-09-18 16:00,14
29-09-18 15:00,31
29-09-18 14:00,35
29-09-18 13:00,18
29-09-18 12:00,38
29-09-18 11:00,290
29-09-18 10:00,182
29-09-18 09:00,215
29-09-18 08:00,149
29-09-18 07:00,325
29-09-18 06:00,78
29-09-18 05:00,76
29-09-18 04:00,49
29-09-18 03:00,347
29-09-18 02:00,307
29-09-18 01:00,98
29-09-18 00:00,259
28-09-18 23:00,117
28-09-18 22:00,181
28-09-18 21:00,171
28-09-18 20:00,334
28-09-18 19:00,299
28-09-18 18:00,317
28-09-18 17:00,329
28-09-18 16:00,297
28-09-18 15:00,304
28-09-18 14:00,9
28-09-18 13:00,345
28-09-18 12:00,333
28-09-18 11:00,331
28-09-18 10:00,325
28-09-18 09:00,88
28-09-18 08:00,60
28-09-18 07:00,303
28-09-18 06:00,308
28-09-18 05:00,188
28-09-18 04:00,185
28-09-18 03:00,177
28-09-18 02:00,10
28-09-18 01:00,180
28-09-18 00:00,179
27-09-18 23:00,157
27-09-18 22:00,187
27-09-18 21:00,162
27-09-18 20:00,188
27-09-18 19:00,182
27-09-18 18:00,197
27-09-18 17:00,197
27-09-18 16:00,200
27-09-18 15:00,216
27-09-18 14:00,246
27-09-18 13:00,215
27-09-18 12:00,231
27-09-18 11:00,200
27-09-18 10:00,193
27-09-18 09:00,201
27-09-18 08:00,199
27-09-18 07:00,211
27-09-18 06:00,231
27-09-18 05:00,206
27-09-18 04:00,190
27-09-18 03:00,200
27-09-18 02:00,185
27-09-18 01:00,194
27-09-18 00:00,194
26-09-18 23:00,204
26-09-18 22:00,200
26-09-18 21:00,189
26-09-18 20:00,186
26-09-18 19:00,194
26-09-18 18:00,197
26-09-18 17:00,222
26-09-18 16:00,250
26-09-18 15:00,229
26-09-18 14:00,219
26-09-18 13:00,213
26-09-18 12:00,215
26-09-18 11:00,202
26-09-18 10:00,200
26-09-18 09:00,201
26-09-18 08:00,213
26-09-18 07:00,186
26-09-18 06:00,176
26-09-18 05:00,158
26-09-18 04:00,153
26-09-18 03:00,167
26-09-18 02:00,171
26-09-18 01:00,179
26-09-18 00:00,175
25-09-18 23:00,157
25-09-18 22:00,155
25-09-18 21:00,195
25-09-18 20:00,172
25-09-18 19:00,168
25-09-18 18:00,327
25-09-18 17:00,337
25-09-18 16:00,312
25-09-18 15:00,306
25-09-18 14:00,300
25-09-18 13:00,321
25-09-18 12:00,315
25-09-18 11:00,324
25-09-18 10:00,308
25-09-18 09:00,289
25-09-18 08:00,257
25-09-18 07:00,191
25-09-18 06:00,255
25-09-18 05:00,268
25-09-18 04:00,270
25-09-18 03:00,266
25-09-18 02:00,267
25-09-18 01:00,267
25-09-18 00:00,269
24-09-18 23:00,267
24-09-18 22:00,273
24-09-18 21:00,272
24-09-18 20:00,262
24-09-18 19:00,265
24-09-18 18:00,271
24-09-18 17:00,287
24-09-18 16:00,291
24-09-18 15:00,302
24-09-18 14:00,290
24-09-18 13:00,290
24-09-18 12:00,285
24-09-18 11:00,291
24-09-18 10:00,281
24-09-18 09:00,277
24-09-18 08:00,274
24-09-18 07:00,271
24-09-18 06:00,269
24-09-18 05:00,267
24-09-18 04:00,265
24-09-18 03:00,267
24-09-18 02:00,263
24-09-18 01:00,268
24-09-18 00:00,303
23-09-18 23:00,317
23-09-18 22:00,325
23-09-18 21:00,333
23-09-18 20:00,326
23-09-18 19:00,314
23-09-18 18:00,355
23-09-18 17:00,299
23-09-18 16:00,190
23-09-18 15:00,120
23-09-18 14:00,144
23-09-18 13:00,122
23-09-18 12:00,117
23-09-18 11:00,125
23-09-18 10:00,171
23-09-18 09:00,182
23-09-18 08:00,159
23-09-18 07:00,181
23-09-18 06:00,197
23-09-18 05:00,188
23-09-18 04:00,201
23-09-18 03:00,192
23-09-18 02:00,195
23-09-18 01:00,241
23-09-18 00:00,283
22-09-18 23:00,245
22-09-18 22:00,249
22-09-18 21:00,248
22-09-18 20:00,235
22-09-18 19:00,235
22-09-18 18:00,237
22-09-18 17:00,234
22-09-18 16:00,241
22-09-18 15:00,262
22-09-18 14:00,257
22-09-18 13:00,259
22-09-18 12:00,265
22-09-18 11:00,261
22-09-18 10:00,252
22-09-18 09:00,250
22-09-18 08:00,231
22-09-18 07:00,224
22-09-18 06:00,205
22-09-18 05:00,211
22-09-18 04:00,213
22-09-18 03:00,194
22-09-18 02:00,193
22-09-18 01:00,217
22-09-18 00:00,237
21-09-18 23:00,256
21-09-18 22:00,251
21-09-18 21:00,251
21-09-18 20:00,225
21-09-18 19:00,281
21-09-18 18:00,303
21-09-18 17:00,260
21-09-18 16:00,239
21-09-18 15:00,217
21-09-18 14:00,220
21-09-18 13:00,213
21-09-18 12:00,205
21-09-18 11:00,197
21-09-18 10:00,186
21-09-18 09:00,180
21-09-18 08:00,181
21-09-18 07:00,176
21-09-18 06:00,150
21-09-18 05:00,178
21-09-18 04:00,201
21-09-18 03:00,240
21-09-18 02:00,181
21-09-18 01:00,229
21-09-18 00:00,54
20-09-18 23:00,28
20-09-18 22:00,329
20-09-18 21:00,319
20-09-18 20:00,252
20-09-18 19:00,187
20-09-18 18:00,181
20-09-18 17:00,207
20-09-18 16:00,205
20-09-18 15:00,203
20-09-18 14:00,206
20-09-18 13:00,223
20-09-18 12:00,213
20-09-18 11:00,199
20-09-18 10:00,198
20-09-18 09:00,213
20-09-18 08:00,358
20-09-18 07:00,185
20-09-18 06:00,241
20-09-18 05:00,199
20-09-18 04:00,148
20-09-18 03:00,58
20-09-18 02:00,8
20-09-18 01:00,17
20-09-18 00:00,341
19-09-18 23:00,31
19-09-18 22:00,292
19-09-18 21:00,207
19-09-18 20:00,186
19-09-18 19:00,185
19-09-18 18:00,198
19-09-18 17:00,205
19-09-18 16:00,202
19-09-18 15:00,219
19-09-18 14:00,187
19-09-18 13:00,188
19-09-18 12:00,183
19-09-18 11:00,201
19-09-18 10:00,203
19-09-18 09:00,196
19-09-18 08:00,245
19-09-18 07:00,324
19-09-18 06:00,285
19-09-18 05:00,180
19-09-18 04:00,188
19-09-18 03:00,154
19-09-18 02:00,180
19-09-18 01:00,172
19-09-18 00:00,177
18-09-18 23:00,180
18-09-18 22:00,132
18-09-18 21:00,177
18-09-18 20:00,130
18-09-18 19:00,179
18-09-18 18:00,191
18-09-18 17:00,196
18-09-18 16:00,196
18-09-18 15:00,194
18-09-18 14:00,201
18-09-18 13:00,207
18-09-18 12:00,208
18-09-18 11:00,221
18-09-18 10:00,194
18-09-18 09:00,196
18-09-18 08:00,199
18-09-18 07:00,283
18-09-18 06:00,191
18-09-18 05:00,180
18-09-18 04:00,189
18-09-18 03:00,202
18-09-18 02:00,173
18-09-18 01:00,180
18-09-18 00:00,182
17-09-18 23:00,192
17-09-18 22:00,183
17-09-18 21:00,173
17-09-18 20:00,166
17-09-18 19:00,166
17-09-18 18:00,155
17-09-18 17:00,150
17-09-18 16:00,242
17-09-18 15:00,189
17-09-18 14:00,234
17-09-18 13:00,216
17-09-18 12:00,197
17-09-18 11:00,211
17-09-18 10:00,207
17-09-18 09:00,212
17-09-18 08:00,188
17-09-18 07:00,134
17-09-18 06:00,141
17-09-18 05:00,154
17-09-18 04:00,157
17-09-18 03:00,186
17-09-18 02:00,159
17-09-18 01:00,184
17-09-18 00:00,127
16-09-18 23:00,164
16-09-18 22:00,165
16-09-18 21:00,150
16-09-18 20:00,180
16-09-18 19:00,146
16-09-18 18:00,338
16-09-18 17:00,301
16-09-18 16:00,283
16-09-18 15:00,287
16-09-18 14:00,182
16-09-18 13:00,303
16-09-18 12:00,87
16-09-18 11:00,354
16-09-18 10:00,12
16-09-18 09:00,119
16-09-18 08:00,215
16-09-18 07:00,161
16-09-18 06:00,172
16-09-18 05:00,124
16-09-18 04:00,181
16-09-18 03:00,31
16-09-18 02:00,177
16-09-18 01:00,13
16-09-18 00:00,225
15-09-18 23:00,147
15-09-18 22:00,149
15-09-18 21:00,170
15-09-18 20:00,169
15-09-18 19:00,278
15-09-18 18:00,292
15-09-18 17:00,287
15-09-18 16:00,306
15-09-18 15:00,304
15-09-18 14:00,287
15-09-18 13:00,281
15-09-18 12:00,287
15-09-18 11:00,288
15-09-18 10:00,273
15-09-18 09:00,282
15-09-18 08:00,231
15-09-18 07:00,196
15-09-18 06:00,206
15-09-18 05:00,200
15-09-18 04:00,176
15-09-18 03:00,153
15-09-18 02:00,331
15-09-18 01:00,159
15-09-18 00:00,173
14-09-18 23:00,207
14-09-18 22:00,280
14-09-18 21:00,310
14-09-18 20:00,20
14-09-18 19:00,102
14-09-18 18:00,97
14-09-18 17:00,89
14-09-18 16:00,79
14-09-18 15:00,350
14-09-18 14:00,357
14-09-18 13:00,63
14-09-18 12:00,100
14-09-18 11:00,74
14-09-18 10:00,68
14-09-18 09:00,18
14-09-18 08:00,356
14-09-18 07:00,359
14-09-18 06:00,358
14-09-18 05:00,341
14-09-18 04:00,344
14-09-18 03:00,3
14-09-18 02:00,56
14-09-18 01:00,27
14-09-18 00:00,15
13-09-18 23:00,8
13-09-18 22:00,7
13-09-18 21:00,15
13-09-18 20:00,354
13-09-18 19:00,333
13-09-18 18:00,7
13-09-18 17:00,13
13-09-18 16:00,344
13-09-18 15:00,3
13-09-18 14:00,21
13-09-18 13:00,22
13-09-18 12:00,6
13-09-18 11:00,8
13-09-18 10:00,1
13-09-18 09:00,14
13-09-18 08:00,26
13-09-18 07:00,63
13-09-18 06:00,72
13-09-18 05:00,6
13-09-18 04:00,11
13-09-18 03:00,4
13-09-18 02:00,350
13-09-18 01:00,330
13-09-18 00:00,318
12-09-18 23:00,2
12-09-18 22:00,344
12-09-18 21:00,343
12-09-18 20:00,334
12-09-18 19:00,180
12-09-18 18:00,290
12-09-18 17:00,280
12-09-18 16:00,274
12-09-18 15:00,268
12-09-18 14:00,269
