Datum Zeit,Zinnwald FEUCHT
,PROZ
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,72.5
30-09-18 03:00,71.1
30-09-18 02:00,71.9
30-09-18 01:00,73.6
30-09-18 00:00,72.8
29-09-18 23:00,73.8
29-09-18 22:00,74.3
29-09-18 21:00,69.6
29-09-18 20:00,65.6
29-09-18 19:00,67.4
29-09-18 18:00,62.3
29-09-18 17:00,56.2
29-09-18 16:00,55.4
29-09-18 15:00,57.3
29-09-18 14:00,59.7
29-09-18 13:00,63.2
29-09-18 12:00,64.7
29-09-18 11:00,74.3
29-09-18 10:00,83.4
29-09-18 09:00,87.7
29-09-18 08:00,88.5
29-09-18 07:00,87.5
29-09-18 06:00,89.6
29-09-18 05:00,87.7
29-09-18 04:00,84.1
29-09-18 03:00,80.9
29-09-18 02:00,77.5
29-09-18 01:00,75.0
29-09-18 00:00,77.7
28-09-18 23:00,78.9
28-09-18 22:00,78.3
28-09-18 21:00,80.4
28-09-18 20:00,82.6
28-09-18 19:00,86.5
28-09-18 18:00,90.9
28-09-18 17:00,93.3
28-09-18 16:00,93.5
28-09-18 15:00,94.4
28-09-18 14:00,94.4
28-09-18 13:00,87.6
28-09-18 12:00,71.2
28-09-18 11:00,62.1
28-09-18 10:00,60.9
28-09-18 09:00,68.6
28-09-18 08:00,60.3
28-09-18 07:00,61.9
28-09-18 06:00,61.9
28-09-18 05:00,58.2
28-09-18 04:00,52.9
28-09-18 03:00,47.2
28-09-18 02:00,49.8
28-09-18 01:00,44.8
28-09-18 00:00,52.9
27-09-18 23:00,53.3
27-09-18 22:00,62.4
27-09-18 21:00,71.8
27-09-18 20:00,75.9
27-09-18 19:00,74.2
27-09-18 18:00,68.4
27-09-18 17:00,63.2
27-09-18 16:00,62.8
27-09-18 15:00,64.9
27-09-18 14:00,62.6
27-09-18 13:00,67.8
27-09-18 12:00,78.1
27-09-18 11:00,83.3
27-09-18 10:00,81.1
27-09-18 09:00,65.5
27-09-18 08:00,54.0
27-09-18 07:00,49.1
27-09-18 06:00,44.4
27-09-18 05:00,45.0
27-09-18 04:00,43.7
27-09-18 03:00,41.9
27-09-18 02:00,40.0
27-09-18 01:00,36.5
27-09-18 00:00,35.7
26-09-18 23:00,37.9
26-09-18 22:00,41.6
