Datum Zeit,Niesky PM2.5
,µg/m³
31-07-07,
30-07-07,6.16
29-07-07,
28-07-07,
27-07-07,
26-07-07,11.80
25-07-07,
24-07-07,
23-07-07,
22-07-07,11.77
21-07-07,
20-07-07,
19-07-07,
18-07-07,12.64
17-07-07,
16-07-07,
15-07-07,
14-07-07,14.15
13-07-07,
12-07-07,
11-07-07,
10-07-07,8.79
09-07-07,
08-07-07,
07-07-07,
06-07-07,16.39
05-07-07,
04-07-07,
03-07-07,
02-07-07,11.83
01-07-07,

