Datum Zeit,Zittau-Ost PM10
,µg/m³
31-05-05,5
30-05-05,26
29-05-05,32
28-05-05,26
27-05-05,23
26-05-05,19
25-05-05,18
24-05-05,13
23-05-05,15
22-05-05,15
21-05-05,20
20-05-05,16
19-05-05,13
18-05-05,22
17-05-05,18
16-05-05,13
15-05-05,14
14-05-05,31
13-05-05,19
12-05-05,10
11-05-05,10
10-05-05,9
09-05-05,7
08-05-05,5
07-05-05,8
06-05-05,11
05-05-05,19
04-05-05,15
03-05-05,29
02-05-05,30
01-05-05,36

