Datum Zeit,Dresden-Bergstraße PM10
,µg/m³
31-05-08,49
30-05-08,42
29-05-08,33
28-05-08,35
27-05-08,44
26-05-08,31
25-05-08,22
24-05-08,33
23-05-08,34
22-05-08,35
21-05-08,33
20-05-08,27
19-05-08,23
18-05-08,18
17-05-08,22
16-05-08,31
15-05-08,46
14-05-08,39
13-05-08,48
12-05-08,32
11-05-08,26
10-05-08,23
09-05-08,32
08-05-08,35
07-05-08,29
06-05-08,26
05-05-08,32
04-05-08,19
03-05-08,24
02-05-08,21
01-05-08,16

