Datum Zeit,Leipzig-Luetzner Straße PM10
,µg/m³
31-05-08,59
30-05-08,56
29-05-08,50
28-05-08,51
27-05-08,40
26-05-08,41
25-05-08,28
24-05-08,33
23-05-08,41
22-05-08,37
21-05-08,32
20-05-08,31
19-05-08,26
18-05-08,21
17-05-08,27
16-05-08,32
15-05-08,52
14-05-08,49
13-05-08,55
12-05-08,44
11-05-08,32
10-05-08,34
09-05-08,42
08-05-08,47
07-05-08,38
06-05-08,37
05-05-08,32
04-05-08,24
03-05-08,36
02-05-08,20
01-05-08,14

