Datum Zeit,Dresden-Nord PM10
,µg/m³
31-05-08,68
30-05-08,49
29-05-08,49
28-05-08,44
27-05-08,52
26-05-08,42
25-05-08,31
24-05-08,36
23-05-08,41
22-05-08,40
21-05-08,33
20-05-08,30
19-05-08,21
18-05-08,20
17-05-08,28
16-05-08,36
15-05-08,41
14-05-08,39
13-05-08,45
12-05-08,34
11-05-08,30
10-05-08,30
09-05-08,37
08-05-08,48
07-05-08,39
06-05-08,34
05-05-08,36
04-05-08,30
03-05-08,35
02-05-08,26
01-05-08,27

