Datum Zeit,Collmberg PM2.5
,µg/m³
31-01-10,16.66
30-01-10,10.10
29-01-10,5.77
28-01-10,9.84
27-01-10,85.87
26-01-10,115.80
25-01-10,85.79
24-01-10,100.24
23-01-10,66.11
22-01-10,51.35
21-01-10,48.53
20-01-10,24.24
19-01-10,4.53
18-01-10,9.16
17-01-10,19.41
16-01-10,32.25
15-01-10,38.74
14-01-10,23.82
13-01-10,49.53
12-01-10,46.47
11-01-10,21.09
10-01-10,15.52
09-01-10,29.87
08-01-10,29.61
07-01-10,21.76
06-01-10,28.99
05-01-10,27.58
04-01-10,18.25
03-01-10,17.88
02-01-10,10.45
01-01-10,22.84

