Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-01-10,15.29
30-01-10,9.68
29-01-10,7.76
28-01-10,10.56
27-01-10,105.84
26-01-10,136.40
25-01-10,34.85
24-01-10,40.95
23-01-10,56.41
22-01-10,58.92
21-01-10,49.35
20-01-10,41.25
19-01-10,19.80
18-01-10,12.77
17-01-10,22.20
16-01-10,26.21
15-01-10,25.86
14-01-10,25.04
13-01-10,42.39
12-01-10,51.37
11-01-10,28.72
10-01-10,19.01
09-01-10,38.74
08-01-10,40.36
07-01-10,28.87
06-01-10,40.02
05-01-10,36.47
04-01-10,
03-01-10,20.97
02-01-10,11.29
01-01-10,41.14

