Datum Zeit,Leipzig-West PM10
,µg/m³
31-01-10,22
30-01-10,12
29-01-10,9
28-01-10,14
27-01-10,104
26-01-10,133
25-01-10,104
24-01-10,100
23-01-10,77
22-01-10,59
21-01-10,53
20-01-10,35
19-01-10,19
18-01-10,20
17-01-10,27
16-01-10,33
15-01-10,37
14-01-10,30
13-01-10,55
12-01-10,53
11-01-10,25
10-01-10,19
09-01-10,26
08-01-10,47
07-01-10,42
06-01-10,50
05-01-10,35
04-01-10,30
03-01-10,25
02-01-10,14
01-01-10,30

