Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-01-10,17.19
30-01-10,10.07
29-01-10,12.29
28-01-10,12.88
27-01-10,114.87
26-01-10,133.14
25-01-10,35.30
24-01-10,39.29
23-01-10,55.64
22-01-10,60.21
21-01-10,52.37
20-01-10,43.50
19-01-10,24.26
18-01-10,15.44
17-01-10,21.49
16-01-10,26.07
15-01-10,31.31
14-01-10,26.36
13-01-10,44.21
12-01-10,53.29
11-01-10,32.42
10-01-10,19.50
09-01-10,37.59
08-01-10,41.59
07-01-10,32.94
06-01-10,43.75
05-01-10,38.23
04-01-10,
03-01-10,22.77
02-01-10,
01-01-10,42.87

