Datum Zeit,Dresden-Bergstraße PM10
,µg/m³
31-01-10,27
30-01-10,16
29-01-10,22
28-01-10,19
27-01-10,146
26-01-10,187
25-01-10,50
24-01-10,52
23-01-10,77
22-01-10,83
21-01-10,69
20-01-10,56
19-01-10,35
18-01-10,27
17-01-10,27
16-01-10,32
15-01-10,40
14-01-10,34
13-01-10,55
12-01-10,64
11-01-10,44
10-01-10,25
09-01-10,44
08-01-10,52
07-01-10,40
06-01-10,55
05-01-10,49
04-01-10,51
03-01-10,31
02-01-10,18
01-01-10,58

