Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-01-10,17.95
30-01-10,12.45
29-01-10,9.27
28-01-10,15.37
27-01-10,117.41
26-01-10,120.84
25-01-10,98.99
24-01-10,92.32
23-01-10,69.83
22-01-10,54.80
21-01-10,50.56
20-01-10,30.05
19-01-10,15.36
18-01-10,15.36
17-01-10,23.20
16-01-10,34.89
15-01-10,39.04
14-01-10,30.30
13-01-10,54.95
12-01-10,49.83
11-01-10,23.76
10-01-10,19.19
09-01-10,28.33
08-01-10,51.24
07-01-10,44.38
06-01-10,44.65
05-01-10,
04-01-10,
03-01-10,21.01
02-01-10,
01-01-10,29.56

