Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-01-10,17.82
30-01-10,10.66
29-01-10,9.91
28-01-10,11.53
27-01-10,105.77
26-01-10,137.81
25-01-10,36.55
24-01-10,40.02
23-01-10,57.09
22-01-10,55.62
21-01-10,48.34
20-01-10,41.08
19-01-10,21.79
18-01-10,17.80
17-01-10,21.04
16-01-10,23.92
15-01-10,25.12
14-01-10,25.15
13-01-10,43.08
12-01-10,51.06
11-01-10,26.36
10-01-10,17.99
09-01-10,36.56
08-01-10,39.28
07-01-10,30.09
06-01-10,42.69
05-01-10,35.89
04-01-10,
03-01-10,20.20
02-01-10,
01-01-10,41.88

