Datum Zeit,Zittau-Ost O3
,µg/m³
01-02-10 00:00,59
31-01-10 23:00,58
31-01-10 22:00,64
31-01-10 21:00,65
31-01-10 20:00,64
31-01-10 19:00,63
31-01-10 18:00,69
31-01-10 17:00,75
31-01-10 16:00,76
31-01-10 15:00,73
31-01-10 14:00,69
31-01-10 13:00,65
31-01-10 12:00,62
31-01-10 11:00,61
31-01-10 10:00,38
31-01-10 09:00,41
31-01-10 08:00,50
31-01-10 07:00,53
31-01-10 06:00,59
31-01-10 05:00,62
31-01-10 04:00,67
31-01-10 03:00,68
31-01-10 02:00,64
31-01-10 01:00,63
31-01-10 00:00,65
30-01-10 23:00,60
30-01-10 22:00,64
30-01-10 21:00,48
30-01-10 20:00,49
30-01-10 19:00,69
30-01-10 18:00,72
30-01-10 17:00,71
30-01-10 16:00,76
30-01-10 15:00,80
30-01-10 14:00,80
30-01-10 13:00,80
30-01-10 12:00,79
30-01-10 11:00,73
30-01-10 10:00,76
30-01-10 09:00,72
30-01-10 08:00,75
30-01-10 07:00,73
30-01-10 06:00,59
30-01-10 05:00,49
30-01-10 04:00,52
30-01-10 03:00,57
30-01-10 02:00,61
30-01-10 01:00,63
30-01-10 00:00,62
29-01-10 23:00,62
29-01-10 22:00,58
29-01-10 21:00,57
29-01-10 20:00,58
29-01-10 19:00,55
29-01-10 18:00,49
29-01-10 17:00,42
29-01-10 16:00,44
29-01-10 15:00,47
29-01-10 14:00,55
29-01-10 13:00,58
29-01-10 12:00,58
29-01-10 11:00,58
29-01-10 10:00,59
29-01-10 09:00,57
29-01-10 08:00,60
29-01-10 07:00,66
29-01-10 06:00,70
29-01-10 05:00,72
29-01-10 04:00,70
29-01-10 03:00,68
29-01-10 02:00,70
29-01-10 01:00,74
29-01-10 00:00,72
28-01-10 23:00,67
28-01-10 22:00,66
28-01-10 21:00,66
28-01-10 20:00,67
28-01-10 19:00,68
28-01-10 18:00,68
28-01-10 17:00,68
28-01-10 16:00,65
28-01-10 15:00,68
28-01-10 14:00,64
28-01-10 13:00,54
28-01-10 12:00,51
28-01-10 11:00,48
28-01-10 10:00,46
28-01-10 09:00,44
28-01-10 08:00,37
28-01-10 07:00,38
28-01-10 06:00,46
28-01-10 05:00,51
28-01-10 04:00,49
28-01-10 03:00,47
28-01-10 02:00,43
28-01-10 01:00,38
28-01-10 00:00,37
27-01-10 23:00,36
27-01-10 22:00,36
27-01-10 21:00,31
27-01-10 20:00,26
27-01-10 19:00,35
27-01-10 18:00,42
27-01-10 17:00,41
27-01-10 16:00,44
27-01-10 15:00,53
27-01-10 14:00,60
27-01-10 13:00,43
27-01-10 12:00,23
27-01-10 11:00,21
27-01-10 10:00,11
27-01-10 09:00,5
27-01-10 08:00,3
27-01-10 07:00,4
27-01-10 06:00,3
27-01-10 05:00,3
27-01-10 04:00,3
27-01-10 03:00,3
27-01-10 02:00,5
27-01-10 01:00,5
27-01-10 00:00,7
26-01-10 23:00,5
26-01-10 22:00,11
26-01-10 21:00,7
26-01-10 20:00,10
26-01-10 19:00,17
26-01-10 18:00,34
26-01-10 17:00,32
26-01-10 16:00,49
26-01-10 15:00,55
26-01-10 14:00,53
26-01-10 13:00,45
26-01-10 12:00,33
26-01-10 11:00,25
26-01-10 10:00,16
26-01-10 09:00,8
26-01-10 08:00,2
26-01-10 07:00,1
26-01-10 06:00,2
26-01-10 05:00,7
26-01-10 04:00,10
26-01-10 03:00,19
26-01-10 02:00,21
26-01-10 01:00,24
26-01-10 00:00,32
25-01-10 23:00,29
25-01-10 22:00,41
25-01-10 21:00,68
25-01-10 20:00,49
25-01-10 19:00,67
25-01-10 18:00,59
25-01-10 17:00,82
25-01-10 16:00,82
25-01-10 15:00,85
25-01-10 14:00,84
25-01-10 13:00,83
25-01-10 12:00,83
25-01-10 11:00,81
25-01-10 10:00,79
25-01-10 09:00,79
25-01-10 08:00,80
25-01-10 07:00,81
25-01-10 06:00,82
25-01-10 05:00,84
25-01-10 04:00,84
25-01-10 03:00,85
25-01-10 02:00,84
25-01-10 01:00,84
25-01-10 00:00,85
24-01-10 23:00,79
24-01-10 22:00,61
24-01-10 21:00,12
24-01-10 20:00,23
24-01-10 19:00,45
24-01-10 18:00,50
24-01-10 17:00,59
24-01-10 16:00,66
24-01-10 15:00,69
24-01-10 14:00,60
24-01-10 13:00,50
24-01-10 12:00,35
24-01-10 11:00,24
24-01-10 10:00,16
24-01-10 09:00,9
24-01-10 08:00,6
24-01-10 07:00,4
24-01-10 06:00,7
24-01-10 05:00,7
24-01-10 04:00,7
24-01-10 03:00,8
24-01-10 02:00,10
24-01-10 01:00,11
24-01-10 00:00,15
23-01-10 23:00,25
23-01-10 22:00,25
23-01-10 21:00,25
23-01-10 20:00,32
23-01-10 19:00,39
23-01-10 18:00,44
23-01-10 17:00,47
23-01-10 16:00,57
23-01-10 15:00,61
23-01-10 14:00,56
23-01-10 13:00,50
23-01-10 12:00,36
23-01-10 11:00,17
23-01-10 10:00,9
23-01-10 09:00,5
23-01-10 08:00,1
23-01-10 07:00,2
23-01-10 06:00,1
23-01-10 05:00,2
23-01-10 04:00,3
23-01-10 03:00,7
23-01-10 02:00,9
23-01-10 01:00,15
23-01-10 00:00,19
22-01-10 23:00,28
22-01-10 22:00,33
22-01-10 21:00,42
22-01-10 20:00,47
22-01-10 19:00,45
22-01-10 18:00,42
22-01-10 17:00,44
22-01-10 16:00,51
22-01-10 15:00,56
22-01-10 14:00,59
22-01-10 13:00,54
22-01-10 12:00,49
22-01-10 11:00,37
22-01-10 10:00,29
22-01-10 09:00,28
22-01-10 08:00,29
22-01-10 07:00,31
22-01-10 06:00,35
22-01-10 05:00,40
22-01-10 04:00,42
22-01-10 03:00,42
22-01-10 02:00,39
22-01-10 01:00,38
22-01-10 00:00,41
21-01-10 23:00,46
21-01-10 22:00,42
21-01-10 21:00,51
21-01-10 20:00,53
21-01-10 19:00,54
21-01-10 18:00,55
21-01-10 17:00,55
21-01-10 16:00,59
21-01-10 15:00,60
21-01-10 14:00,60
21-01-10 13:00,54
21-01-10 12:00,49
21-01-10 11:00,47
21-01-10 10:00,45
21-01-10 09:00,42
21-01-10 08:00,37
21-01-10 07:00,34
21-01-10 06:00,33
21-01-10 05:00,36
21-01-10 04:00,37
21-01-10 03:00,37
21-01-10 02:00,40
21-01-10 01:00,38
21-01-10 00:00,33
20-01-10 23:00,33
20-01-10 22:00,31
20-01-10 21:00,33
20-01-10 20:00,30
20-01-10 19:00,21
20-01-10 18:00,18
20-01-10 17:00,14
20-01-10 16:00,16
20-01-10 15:00,18
20-01-10 14:00,23
20-01-10 13:00,30
20-01-10 12:00,31
20-01-10 11:00,33
20-01-10 10:00,32
20-01-10 09:00,31
20-01-10 08:00,26
20-01-10 07:00,17
20-01-10 06:00,14
20-01-10 05:00,16
20-01-10 04:00,8
20-01-10 03:00,3
20-01-10 02:00,1
20-01-10 01:00,1
20-01-10 00:00,1
19-01-10 23:00,1
19-01-10 22:00,1
19-01-10 21:00,1
19-01-10 20:00,1
19-01-10 19:00,1
19-01-10 18:00,1
19-01-10 17:00,12
19-01-10 16:00,17
19-01-10 15:00,28
19-01-10 14:00,30
19-01-10 13:00,31
19-01-10 12:00,30
19-01-10 11:00,13
19-01-10 10:00,6
19-01-10 09:00,3
19-01-10 08:00,4
19-01-10 07:00,6
19-01-10 06:00,16
19-01-10 05:00,14
19-01-10 04:00,11
19-01-10 03:00,11
19-01-10 02:00,3
19-01-10 01:00,2
19-01-10 00:00,3
18-01-10 23:00,2
18-01-10 22:00,8
18-01-10 21:00,5
18-01-10 20:00,1
18-01-10 19:00,5
18-01-10 18:00,4
18-01-10 17:00,19
18-01-10 16:00,24
18-01-10 15:00,30
18-01-10 14:00,35
18-01-10 13:00,37
18-01-10 12:00,25
18-01-10 11:00,15
18-01-10 10:00,19
18-01-10 09:00,27
18-01-10 08:00,27
18-01-10 07:00,28
18-01-10 06:00,29
18-01-10 05:00,30
18-01-10 04:00,31
18-01-10 03:00,31
18-01-10 02:00,32
18-01-10 01:00,30
18-01-10 00:00,33
17-01-10 23:00,36
17-01-10 22:00,37
17-01-10 21:00,38
17-01-10 20:00,40
17-01-10 19:00,42
17-01-10 18:00,44
17-01-10 17:00,47
17-01-10 16:00,48
17-01-10 15:00,49
17-01-10 14:00,49
17-01-10 13:00,50
