Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-01-10,15.16
30-01-10,10.23
29-01-10,5.24
28-01-10,11.89
27-01-10,78.44
26-01-10,106.52
25-01-10,83.31
24-01-10,84.82
23-01-10,64.29
22-01-10,49.41
21-01-10,43.98
20-01-10,26.74
19-01-10,12.01
18-01-10,13.24
17-01-10,22.55
16-01-10,28.12
15-01-10,29.91
14-01-10,25.97
13-01-10,48.39
12-01-10,45.89
11-01-10,21.07
10-01-10,17.07
09-01-10,22.35
08-01-10,41.94
07-01-10,36.68
06-01-10,43.70
05-01-10,30.38
04-01-10,25.26
03-01-10,20.03
02-01-10,11.91
01-01-10,26.15

