Datum Zeit,Niesky NO
,µg/m³
01-02-10 00:00,1
31-01-10 23:00,1
31-01-10 22:00,1
31-01-10 21:00,1
31-01-10 20:00,1
31-01-10 19:00,1
31-01-10 18:00,1
31-01-10 17:00,1
31-01-10 16:00,1
31-01-10 15:00,1
31-01-10 14:00,2
31-01-10 13:00,1
31-01-10 12:00,1
31-01-10 11:00,3
31-01-10 10:00,2
31-01-10 09:00,1
31-01-10 08:00,1
31-01-10 07:00,1
31-01-10 06:00,1
31-01-10 05:00,1
31-01-10 04:00,1
31-01-10 03:00,1
31-01-10 02:00,1
31-01-10 01:00,1
31-01-10 00:00,1
30-01-10 23:00,1
30-01-10 22:00,1
30-01-10 21:00,1
30-01-10 20:00,1
30-01-10 19:00,1
30-01-10 18:00,1
30-01-10 17:00,1
30-01-10 16:00,1
30-01-10 15:00,1
30-01-10 14:00,1
30-01-10 13:00,1
30-01-10 12:00,1
30-01-10 11:00,1
30-01-10 10:00,1
30-01-10 09:00,1
30-01-10 08:00,1
30-01-10 07:00,1
30-01-10 06:00,1
30-01-10 05:00,1
30-01-10 04:00,1
30-01-10 03:00,1
30-01-10 02:00,1
30-01-10 01:00,1
30-01-10 00:00,1
29-01-10 23:00,1
29-01-10 22:00,1
29-01-10 21:00,1
29-01-10 20:00,1
29-01-10 19:00,1
29-01-10 18:00,1
29-01-10 17:00,1
29-01-10 16:00,2
29-01-10 15:00,2
29-01-10 14:00,1
29-01-10 13:00,1
29-01-10 12:00,1
29-01-10 11:00,2
29-01-10 10:00,2
29-01-10 09:00,1
29-01-10 08:00,1
29-01-10 07:00,1
29-01-10 06:00,1
29-01-10 05:00,1
29-01-10 04:00,1
29-01-10 03:00,1
29-01-10 02:00,1
29-01-10 01:00,1
29-01-10 00:00,1
28-01-10 23:00,1
28-01-10 22:00,1
28-01-10 21:00,1
28-01-10 20:00,1
28-01-10 19:00,1
28-01-10 18:00,1
28-01-10 17:00,1
28-01-10 16:00,1
28-01-10 15:00,1
28-01-10 14:00,1
28-01-10 13:00,1
28-01-10 12:00,1
28-01-10 11:00,4
28-01-10 10:00,1
28-01-10 09:00,1
28-01-10 08:00,1
28-01-10 07:00,1
28-01-10 06:00,1
28-01-10 05:00,1
28-01-10 04:00,1
28-01-10 03:00,1
28-01-10 02:00,1
28-01-10 01:00,1
28-01-10 00:00,1
27-01-10 23:00,1
27-01-10 22:00,1
27-01-10 21:00,1
27-01-10 20:00,1
27-01-10 19:00,1
27-01-10 18:00,1
27-01-10 17:00,1
27-01-10 16:00,2
27-01-10 15:00,4
27-01-10 14:00,6
27-01-10 13:00,8
27-01-10 12:00,10
27-01-10 11:00,12
27-01-10 10:00,13
27-01-10 09:00,20
27-01-10 08:00,4
27-01-10 07:00,2
27-01-10 06:00,1
27-01-10 05:00,2
27-01-10 04:00,1
27-01-10 03:00,1
27-01-10 02:00,1
27-01-10 01:00,1
27-01-10 00:00,1
26-01-10 23:00,1
26-01-10 22:00,1
26-01-10 21:00,1
26-01-10 20:00,1
26-01-10 19:00,1
26-01-10 18:00,1
26-01-10 17:00,2
26-01-10 16:00,3
26-01-10 15:00,4
26-01-10 14:00,6
26-01-10 13:00,8
26-01-10 12:00,8
26-01-10 11:00,8
26-01-10 10:00,6
26-01-10 09:00,4
26-01-10 08:00,2
26-01-10 07:00,1
26-01-10 06:00,1
26-01-10 05:00,1
26-01-10 04:00,1
26-01-10 03:00,1
26-01-10 02:00,1
26-01-10 01:00,1
26-01-10 00:00,1
25-01-10 23:00,1
25-01-10 22:00,1
25-01-10 21:00,1
25-01-10 20:00,1
25-01-10 19:00,1
25-01-10 18:00,1
25-01-10 17:00,1
25-01-10 16:00,2
25-01-10 15:00,5
25-01-10 14:00,5
25-01-10 13:00,6
25-01-10 12:00,8
25-01-10 11:00,8
25-01-10 10:00,7
25-01-10 09:00,4
25-01-10 08:00,1
25-01-10 07:00,1
25-01-10 06:00,1
25-01-10 05:00,1
25-01-10 04:00,1
25-01-10 03:00,1
25-01-10 02:00,1
25-01-10 01:00,1
25-01-10 00:00,1
24-01-10 23:00,1
24-01-10 22:00,1
24-01-10 21:00,1
24-01-10 20:00,1
24-01-10 19:00,1
24-01-10 18:00,1
24-01-10 17:00,1
24-01-10 16:00,1
24-01-10 15:00,2
24-01-10 14:00,3
24-01-10 13:00,4
24-01-10 12:00,5
24-01-10 11:00,6
24-01-10 10:00,6
24-01-10 09:00,3
24-01-10 08:00,1
24-01-10 07:00,1
24-01-10 06:00,1
24-01-10 05:00,1
24-01-10 04:00,1
24-01-10 03:00,1
24-01-10 02:00,1
24-01-10 01:00,1
24-01-10 00:00,1
23-01-10 23:00,1
23-01-10 22:00,1
23-01-10 21:00,1
23-01-10 20:00,1
23-01-10 19:00,1
23-01-10 18:00,1
23-01-10 17:00,1
23-01-10 16:00,3
23-01-10 15:00,4
23-01-10 14:00,4
23-01-10 13:00,4
23-01-10 12:00,4
23-01-10 11:00,3
23-01-10 10:00,2
23-01-10 09:00,1
23-01-10 08:00,1
23-01-10 07:00,1
23-01-10 06:00,1
23-01-10 05:00,1
23-01-10 04:00,1
23-01-10 03:00,1
23-01-10 02:00,1
23-01-10 01:00,1
23-01-10 00:00,1
22-01-10 23:00,1
22-01-10 22:00,1
22-01-10 21:00,1
22-01-10 20:00,1
22-01-10 19:00,1
22-01-10 18:00,1
22-01-10 17:00,1
22-01-10 16:00,1
22-01-10 15:00,2
22-01-10 14:00,3
22-01-10 13:00,3
22-01-10 12:00,2
22-01-10 11:00,2
22-01-10 10:00,1
22-01-10 09:00,1
22-01-10 08:00,1
22-01-10 07:00,1
22-01-10 06:00,1
22-01-10 05:00,1
22-01-10 04:00,1
22-01-10 03:00,1
22-01-10 02:00,1
22-01-10 01:00,1
22-01-10 00:00,1
21-01-10 23:00,1
21-01-10 22:00,1
21-01-10 21:00,1
21-01-10 20:00,1
21-01-10 19:00,1
21-01-10 18:00,1
21-01-10 17:00,1
21-01-10 16:00,1
21-01-10 15:00,1
21-01-10 14:00,1
21-01-10 13:00,1
21-01-10 12:00,2
21-01-10 11:00,1
21-01-10 10:00,1
