Datum Zeit,Leipzig-Luetzner Straße PM10
,µg/m³
31-12-06,24
30-12-06,25
29-12-06,29
28-12-06,30
27-12-06,40
26-12-06,36
25-12-06,19
24-12-06,30
23-12-06,53
22-12-06,61
21-12-06,57
20-12-06,31
19-12-06,46
18-12-06,41
17-12-06,19
16-12-06,27
15-12-06,37
14-12-06,26
13-12-06,28
12-12-06,
11-12-06,23
10-12-06,32
09-12-06,23
08-12-06,19
07-12-06,24
06-12-06,25
05-12-06,16
04-12-06,17
03-12-06,23
02-12-06,26
01-12-06,39

