Datum Zeit,Niesky PM2.5
,µg/m³
31-12-06,
30-12-06,20.84
29-12-06,
28-12-06,
27-12-06,
26-12-06,3.66
25-12-06,
24-12-06,
23-12-06,
22-12-06,16.86
21-12-06,
20-12-06,
19-12-06,
18-12-06,9.80
17-12-06,
16-12-06,
15-12-06,
14-12-06,7.98
13-12-06,
12-12-06,
11-12-06,
10-12-06,14.87
09-12-06,
08-12-06,
07-12-06,
06-12-06,17.69
05-12-06,
04-12-06,
03-12-06,
02-12-06,33.27
01-12-06,

