Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-07-09,7.32
30-07-09,8.54
29-07-09,8.07
28-07-09,6.99
27-07-09,8.65
26-07-09,5.35
25-07-09,3.96
24-07-09,3.53
23-07-09,9.45
22-07-09,9.45
21-07-09,6.77
20-07-09,3.95
19-07-09,3.75
18-07-09,2.66
17-07-09,11.43
16-07-09,8.92
15-07-09,5.59
14-07-09,7.14
13-07-09,7.73
12-07-09,5.02
11-07-09,5.35
10-07-09,5.05
09-07-09,5.62
08-07-09,3.93
07-07-09,5.38
06-07-09,8.70
05-07-09,9.00
04-07-09,14.75
03-07-09,12.51
02-07-09,12.08
01-07-09,13.94

