Datum Zeit,Chemnitz-Mitte O3
,µg/m³
01-08-09 00:00,44
31-07-09 23:00,49
31-07-09 22:00,61
31-07-09 21:00,58
31-07-09 20:00,66
31-07-09 19:00,79
31-07-09 18:00,86
31-07-09 17:00,80
31-07-09 16:00,83
31-07-09 15:00,86
31-07-09 14:00,82
31-07-09 13:00,74
31-07-09 12:00,70
31-07-09 11:00,66
31-07-09 10:00,58
31-07-09 09:00,41
31-07-09 08:00,16
31-07-09 07:00,6
31-07-09 06:00,7
31-07-09 05:00,11
31-07-09 04:00,28
31-07-09 03:00,32
31-07-09 02:00,31
31-07-09 01:00,39
31-07-09 00:00,38
30-07-09 23:00,25
30-07-09 22:00,18
30-07-09 21:00,43
30-07-09 20:00,67
30-07-09 19:00,70
30-07-09 18:00,70
30-07-09 17:00,78
30-07-09 16:00,81
30-07-09 15:00,90
30-07-09 14:00,89
30-07-09 13:00,96
30-07-09 12:00,104
30-07-09 11:00,99
30-07-09 10:00,88
30-07-09 09:00,69
30-07-09 08:00,37
30-07-09 07:00,39
30-07-09 06:00,53
30-07-09 05:00,68
30-07-09 04:00,75
30-07-09 03:00,56
30-07-09 02:00,58
30-07-09 01:00,59
30-07-09 00:00,56
29-07-09 23:00,80
29-07-09 22:00,84
29-07-09 21:00,100
29-07-09 20:00,93
29-07-09 19:00,94
29-07-09 18:00,104
29-07-09 17:00,106
29-07-09 16:00,106
29-07-09 15:00,107
29-07-09 14:00,107
29-07-09 13:00,101
29-07-09 12:00,97
29-07-09 11:00,87
29-07-09 10:00,79
29-07-09 09:00,70
29-07-09 08:00,50
29-07-09 07:00,32
29-07-09 06:00,3
29-07-09 05:00,2
29-07-09 04:00,15
29-07-09 03:00,22
29-07-09 02:00,32
29-07-09 01:00,34
29-07-09 00:00,26
28-07-09 23:00,27
28-07-09 22:00,17
28-07-09 21:00,50
28-07-09 20:00,59
28-07-09 19:00,86
28-07-09 18:00,86
28-07-09 17:00,85
28-07-09 16:00,83
28-07-09 15:00,83
28-07-09 14:00,81
28-07-09 13:00,78
28-07-09 12:00,69
28-07-09 11:00,64
28-07-09 10:00,59
28-07-09 09:00,48
28-07-09 08:00,43
28-07-09 07:00,53
28-07-09 06:00,69
28-07-09 05:00,83
28-07-09 04:00,80
28-07-09 03:00,88
28-07-09 02:00,87
28-07-09 01:00,74
28-07-09 00:00,64
27-07-09 23:00,42
27-07-09 22:00,30
27-07-09 21:00,43
27-07-09 20:00,48
27-07-09 19:00,91
27-07-09 18:00,96
27-07-09 17:00,98
27-07-09 16:00,94
27-07-09 15:00,92
27-07-09 14:00,89
27-07-09 13:00,89
27-07-09 12:00,87
27-07-09 11:00,84
27-07-09 10:00,82
27-07-09 09:00,63
27-07-09 08:00,47
27-07-09 07:00,41
27-07-09 06:00,39
27-07-09 05:00,48
27-07-09 04:00,50
27-07-09 03:00,39
27-07-09 02:00,31
27-07-09 01:00,37
27-07-09 00:00,44
26-07-09 23:00,38
26-07-09 22:00,35
26-07-09 21:00,25
26-07-09 20:00,60
26-07-09 19:00,82
26-07-09 18:00,83
26-07-09 17:00,86
26-07-09 16:00,84
26-07-09 15:00,83
26-07-09 14:00,81
26-07-09 13:00,79
26-07-09 12:00,75
26-07-09 11:00,70
26-07-09 10:00,64
26-07-09 09:00,57
26-07-09 08:00,50
26-07-09 07:00,44
26-07-09 06:00,35
26-07-09 05:00,37
26-07-09 04:00,38
26-07-09 03:00,36
26-07-09 02:00,43
26-07-09 01:00,42
26-07-09 00:00,44
25-07-09 23:00,45
25-07-09 22:00,49
25-07-09 21:00,52
25-07-09 20:00,56
25-07-09 19:00,58
25-07-09 18:00,60
25-07-09 17:00,68
25-07-09 16:00,65
25-07-09 15:00,65
25-07-09 14:00,62
25-07-09 13:00,60
25-07-09 12:00,57
25-07-09 11:00,57
25-07-09 10:00,54
25-07-09 09:00,50
25-07-09 08:00,41
25-07-09 07:00,40
25-07-09 06:00,39
25-07-09 05:00,49
25-07-09 04:00,51
25-07-09 03:00,49
25-07-09 02:00,47
25-07-09 01:00,40
25-07-09 00:00,45
24-07-09 23:00,41
24-07-09 22:00,48
24-07-09 21:00,55
24-07-09 20:00,60
24-07-09 19:00,65
24-07-09 18:00,74
24-07-09 17:00,74
24-07-09 16:00,72
24-07-09 15:00,63
24-07-09 14:00,60
24-07-09 13:00,59
24-07-09 12:00,64
24-07-09 11:00,63
24-07-09 10:00,54
24-07-09 09:00,53
24-07-09 08:00,48
24-07-09 07:00,38
24-07-09 06:00,46
24-07-09 05:00,47
24-07-09 04:00,64
24-07-09 03:00,64
24-07-09 02:00,68
24-07-09 01:00,59
24-07-09 00:00,65
23-07-09 23:00,67
23-07-09 22:00,69
23-07-09 21:00,73
23-07-09 20:00,73
23-07-09 19:00,60
23-07-09 18:00,50
23-07-09 17:00,62
23-07-09 16:00,68
23-07-09 15:00,72
23-07-09 14:00,80
23-07-09 13:00,72
23-07-09 12:00,73
23-07-09 11:00,43
23-07-09 10:00,61
23-07-09 09:00,59
23-07-09 08:00,46
23-07-09 07:00,55
23-07-09 06:00,18
23-07-09 05:00,35
23-07-09 04:00,31
23-07-09 03:00,58
23-07-09 02:00,76
23-07-09 01:00,71
23-07-09 00:00,80
22-07-09 23:00,69
22-07-09 22:00,38
22-07-09 21:00,44
22-07-09 20:00,62
22-07-09 19:00,90
22-07-09 18:00,90
22-07-09 17:00,93
22-07-09 16:00,99
22-07-09 15:00,85
22-07-09 14:00,65
22-07-09 13:00,74
22-07-09 12:00,94
22-07-09 11:00,80
22-07-09 10:00,50
22-07-09 09:00,41
22-07-09 08:00,24
22-07-09 07:00,17
22-07-09 06:00,8
22-07-09 05:00,48
22-07-09 04:00,58
22-07-09 03:00,26
22-07-09 02:00,26
22-07-09 01:00,35
22-07-09 00:00,46
21-07-09 23:00,49
21-07-09 22:00,44
21-07-09 21:00,38
21-07-09 20:00,64
21-07-09 19:00,79
21-07-09 18:00,84
21-07-09 17:00,84
21-07-09 16:00,84
21-07-09 15:00,85
21-07-09 14:00,81
21-07-09 13:00,77
21-07-09 12:00,71
21-07-09 11:00,63
21-07-09 10:00,48
21-07-09 09:00,37
21-07-09 08:00,13
21-07-09 07:00,6
21-07-09 06:00,8
21-07-09 05:00,16
21-07-09 04:00,20
21-07-09 03:00,21
21-07-09 02:00,21
21-07-09 01:00,23
21-07-09 00:00,19
20-07-09 23:00,22
20-07-09 22:00,28
20-07-09 21:00,49
20-07-09 20:00,59
20-07-09 19:00,68
20-07-09 18:00,69
20-07-09 17:00,69
20-07-09 16:00,69
20-07-09 15:00,
20-07-09 14:00,
20-07-09 13:00,
20-07-09 12:00,
20-07-09 11:00,55
20-07-09 10:00,44
20-07-09 09:00,40
20-07-09 08:00,35
20-07-09 07:00,23
20-07-09 06:00,20
20-07-09 05:00,31
20-07-09 04:00,37
20-07-09 03:00,42
20-07-09 02:00,34
20-07-09 01:00,41
20-07-09 00:00,44
19-07-09 23:00,42
19-07-09 22:00,45
19-07-09 21:00,67
19-07-09 20:00,55
19-07-09 19:00,59
19-07-09 18:00,57
19-07-09 17:00,59
19-07-09 16:00,62
19-07-09 15:00,60
19-07-09 14:00,57
19-07-09 13:00,56
19-07-09 12:00,55
19-07-09 11:00,56
19-07-09 10:00,47
