Datum Zeit,Schwartenberg PM2.5
,µg/m³
31-07-09,5.40
30-07-09,
29-07-09,9.73
28-07-09,
27-07-09,7.73
26-07-09,
25-07-09,2.40
24-07-09,
23-07-09,8.45
22-07-09,
21-07-09,4.56
20-07-09,
19-07-09,1.50
18-07-09,
17-07-09,9.75
16-07-09,
15-07-09,4.35
14-07-09,
13-07-09,4.95
12-07-09,
11-07-09,4.62
10-07-09,
09-07-09,5.00
08-07-09,
07-07-09,
06-07-09,
05-07-09,
04-07-09,
03-07-09,
02-07-09,
01-07-09,

