Datum Zeit,Zittau-Ost NO
,µg/m³
01-07-06 00:00,1
30-06-06 23:00,1
30-06-06 22:00,1
30-06-06 21:00,1
30-06-06 20:00,1
30-06-06 19:00,1
30-06-06 18:00,1
30-06-06 17:00,1
30-06-06 16:00,1
30-06-06 15:00,1
30-06-06 14:00,1
30-06-06 13:00,1
30-06-06 12:00,1
30-06-06 11:00,1
30-06-06 10:00,2
30-06-06 09:00,1
30-06-06 08:00,1
30-06-06 07:00,1
30-06-06 06:00,1
30-06-06 05:00,1
30-06-06 04:00,1
30-06-06 03:00,1
30-06-06 02:00,1
30-06-06 01:00,1
30-06-06 00:00,1
29-06-06 23:00,1
29-06-06 22:00,1
29-06-06 21:00,1
29-06-06 20:00,1
29-06-06 19:00,1
29-06-06 18:00,1
29-06-06 17:00,1
29-06-06 16:00,1
29-06-06 15:00,2
29-06-06 14:00,2
29-06-06 13:00,3
29-06-06 12:00,1
29-06-06 11:00,3
29-06-06 10:00,2
29-06-06 09:00,5
29-06-06 08:00,6
29-06-06 07:00,1
29-06-06 06:00,1
29-06-06 05:00,1
29-06-06 04:00,1
29-06-06 03:00,1
29-06-06 02:00,1
29-06-06 01:00,1
29-06-06 00:00,1
28-06-06 23:00,1
28-06-06 22:00,1
28-06-06 21:00,1
28-06-06 20:00,1
28-06-06 19:00,1
28-06-06 18:00,1
28-06-06 17:00,1
28-06-06 16:00,1
28-06-06 15:00,3
28-06-06 14:00,1
28-06-06 13:00,1
28-06-06 12:00,2
28-06-06 11:00,1
28-06-06 10:00,1
28-06-06 09:00,1
28-06-06 08:00,2
28-06-06 07:00,2
28-06-06 06:00,2
28-06-06 05:00,6
28-06-06 04:00,1
28-06-06 03:00,1
28-06-06 02:00,1
28-06-06 01:00,1
28-06-06 00:00,1
27-06-06 23:00,1
27-06-06 22:00,1
27-06-06 21:00,1
27-06-06 20:00,1
27-06-06 19:00,1
27-06-06 18:00,1
27-06-06 17:00,1
27-06-06 16:00,1
27-06-06 15:00,1
27-06-06 14:00,1
27-06-06 13:00,1
27-06-06 12:00,1
27-06-06 11:00,1
27-06-06 10:00,1
27-06-06 09:00,1
27-06-06 08:00,2
27-06-06 07:00,2
27-06-06 06:00,2
27-06-06 05:00,1
27-06-06 04:00,1
27-06-06 03:00,1
27-06-06 02:00,1
27-06-06 01:00,1
27-06-06 00:00,1
26-06-06 23:00,1
26-06-06 22:00,1
26-06-06 21:00,1
26-06-06 20:00,1
26-06-06 19:00,1
26-06-06 18:00,1
26-06-06 17:00,1
26-06-06 16:00,1
26-06-06 15:00,1
26-06-06 14:00,1
26-06-06 13:00,1
26-06-06 12:00,1
26-06-06 11:00,1
26-06-06 10:00,1
26-06-06 09:00,2
26-06-06 08:00,1
26-06-06 07:00,1
26-06-06 06:00,1
26-06-06 05:00,1
26-06-06 04:00,1
26-06-06 03:00,1
26-06-06 02:00,1
26-06-06 01:00,1
26-06-06 00:00,1
25-06-06 23:00,1
25-06-06 22:00,1
25-06-06 21:00,1
25-06-06 20:00,1
25-06-06 19:00,1
25-06-06 18:00,1
25-06-06 17:00,1
25-06-06 16:00,1
25-06-06 15:00,1
25-06-06 14:00,1
25-06-06 13:00,1
25-06-06 12:00,1
25-06-06 11:00,1
25-06-06 10:00,1
25-06-06 09:00,1
25-06-06 08:00,1
25-06-06 07:00,1
25-06-06 06:00,1
25-06-06 05:00,1
25-06-06 04:00,1
25-06-06 03:00,1
25-06-06 02:00,1
25-06-06 01:00,1
25-06-06 00:00,1
24-06-06 23:00,1
24-06-06 22:00,1
24-06-06 21:00,1
24-06-06 20:00,1
24-06-06 19:00,1
24-06-06 18:00,1
24-06-06 17:00,1
24-06-06 16:00,1
24-06-06 15:00,1
24-06-06 14:00,1
24-06-06 13:00,1
24-06-06 12:00,1
24-06-06 11:00,1
24-06-06 10:00,1
24-06-06 09:00,1
24-06-06 08:00,1
24-06-06 07:00,1
24-06-06 06:00,1
24-06-06 05:00,1
24-06-06 04:00,1
24-06-06 03:00,1
24-06-06 02:00,1
24-06-06 01:00,1
24-06-06 00:00,1
23-06-06 23:00,1
23-06-06 22:00,1
23-06-06 21:00,1
23-06-06 20:00,1
23-06-06 19:00,1
23-06-06 18:00,1
23-06-06 17:00,1
23-06-06 16:00,1
23-06-06 15:00,1
23-06-06 14:00,1
23-06-06 13:00,1
23-06-06 12:00,1
23-06-06 11:00,3
23-06-06 10:00,4
23-06-06 09:00,3
23-06-06 08:00,3
23-06-06 07:00,1
23-06-06 06:00,1
23-06-06 05:00,1
23-06-06 04:00,1
23-06-06 03:00,1
23-06-06 02:00,1
23-06-06 01:00,1
23-06-06 00:00,1
22-06-06 23:00,1
22-06-06 22:00,1
22-06-06 21:00,1
22-06-06 20:00,1
22-06-06 19:00,1
22-06-06 18:00,1
22-06-06 17:00,1
22-06-06 16:00,1
22-06-06 15:00,1
22-06-06 14:00,1
22-06-06 13:00,1
22-06-06 12:00,1
22-06-06 11:00,1
22-06-06 10:00,2
22-06-06 09:00,2
22-06-06 08:00,2
22-06-06 07:00,3
22-06-06 06:00,2
22-06-06 05:00,1
22-06-06 04:00,1
22-06-06 03:00,1
22-06-06 02:00,1
22-06-06 01:00,1
22-06-06 00:00,1
21-06-06 23:00,1
21-06-06 22:00,1
21-06-06 21:00,1
21-06-06 20:00,1
21-06-06 19:00,1
21-06-06 18:00,1
21-06-06 17:00,1
21-06-06 16:00,1
21-06-06 15:00,2
21-06-06 14:00,1
21-06-06 13:00,1
21-06-06 12:00,1
21-06-06 11:00,1
21-06-06 10:00,2
21-06-06 09:00,1
21-06-06 08:00,1
21-06-06 07:00,1
21-06-06 06:00,1
21-06-06 05:00,1
21-06-06 04:00,1
21-06-06 03:00,1
21-06-06 02:00,1
21-06-06 01:00,1
21-06-06 00:00,1
20-06-06 23:00,1
20-06-06 22:00,1
20-06-06 21:00,1
20-06-06 20:00,1
20-06-06 19:00,1
20-06-06 18:00,1
20-06-06 17:00,1
20-06-06 16:00,1
20-06-06 15:00,1
20-06-06 14:00,1
20-06-06 13:00,1
20-06-06 12:00,1
20-06-06 11:00,1
20-06-06 10:00,1
20-06-06 09:00,1
20-06-06 08:00,2
20-06-06 07:00,3
20-06-06 06:00,1
20-06-06 05:00,1
20-06-06 04:00,1
20-06-06 03:00,1
20-06-06 02:00,1
20-06-06 01:00,1
20-06-06 00:00,1
19-06-06 23:00,1
19-06-06 22:00,1
19-06-06 21:00,1
19-06-06 20:00,1
19-06-06 19:00,1
19-06-06 18:00,1
19-06-06 17:00,1
19-06-06 16:00,1
19-06-06 15:00,1
19-06-06 14:00,1
19-06-06 13:00,1
19-06-06 12:00,1
19-06-06 11:00,2
19-06-06 10:00,1
19-06-06 09:00,1
19-06-06 08:00,1
19-06-06 07:00,1
19-06-06 06:00,4
19-06-06 05:00,3
19-06-06 04:00,1
19-06-06 03:00,1
19-06-06 02:00,1
19-06-06 01:00,1
19-06-06 00:00,1
18-06-06 23:00,1
18-06-06 22:00,1
18-06-06 21:00,1
18-06-06 20:00,1
18-06-06 19:00,1
18-06-06 18:00,1
18-06-06 17:00,1
18-06-06 16:00,1
18-06-06 15:00,1
18-06-06 14:00,1
18-06-06 13:00,1
18-06-06 12:00,1
18-06-06 11:00,1
18-06-06 10:00,1
18-06-06 09:00,1
18-06-06 08:00,1
18-06-06 07:00,1
18-06-06 06:00,1
18-06-06 05:00,1
18-06-06 04:00,1
18-06-06 03:00,1
18-06-06 02:00,1
18-06-06 01:00,1
18-06-06 00:00,1
17-06-06 23:00,1
17-06-06 22:00,1
17-06-06 21:00,1
17-06-06 20:00,1
17-06-06 19:00,1
17-06-06 18:00,1
17-06-06 17:00,1
17-06-06 16:00,1
17-06-06 15:00,1
17-06-06 14:00,1
17-06-06 13:00,1
17-06-06 12:00,1
17-06-06 11:00,1
17-06-06 10:00,1
17-06-06 09:00,1
17-06-06 08:00,1
17-06-06 07:00,1
17-06-06 06:00,1
17-06-06 05:00,1
17-06-06 04:00,1
17-06-06 03:00,1
17-06-06 02:00,1
17-06-06 01:00,1
17-06-06 00:00,1
16-06-06 23:00,1
16-06-06 22:00,1
16-06-06 21:00,1
16-06-06 20:00,1
16-06-06 19:00,1
16-06-06 18:00,1
16-06-06 17:00,1
16-06-06 16:00,1
16-06-06 15:00,1
16-06-06 14:00,1
16-06-06 13:00,1
16-06-06 12:00,1
16-06-06 11:00,1
16-06-06 10:00,1
16-06-06 09:00,1
16-06-06 08:00,1
16-06-06 07:00,5
16-06-06 06:00,3
16-06-06 05:00,1
16-06-06 04:00,1
16-06-06 03:00,1
16-06-06 02:00,1
16-06-06 01:00,1
16-06-06 00:00,1
15-06-06 23:00,1
15-06-06 22:00,1
15-06-06 21:00,1
15-06-06 20:00,1
15-06-06 19:00,1
15-06-06 18:00,1
15-06-06 17:00,1
15-06-06 16:00,1
15-06-06 15:00,1
15-06-06 14:00,1
15-06-06 13:00,1
15-06-06 12:00,1
15-06-06 11:00,1
15-06-06 10:00,1
15-06-06 09:00,2
15-06-06 08:00,2
15-06-06 07:00,7
15-06-06 06:00,3
15-06-06 05:00,1
15-06-06 04:00,1
15-06-06 03:00,1
15-06-06 02:00,1
15-06-06 01:00,1
15-06-06 00:00,1
