Datum Zeit,Dresden-Bergstraße PM10
,µg/m³
30-06-06,29
29-06-06,27
28-06-06,29
27-06-06,25
26-06-06,
25-06-06,29
24-06-06,32
23-06-06,31
22-06-06,
21-06-06,49
20-06-06,37
19-06-06,41
18-06-06,17
17-06-06,40
16-06-06,45
15-06-06,41
14-06-06,
13-06-06,
12-06-06,26
11-06-06,18
10-06-06,22
09-06-06,30
08-06-06,26
07-06-06,22
06-06-06,20
05-06-06,15
04-06-06,16
03-06-06,14
02-06-06,25
01-06-06,23

