Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-09-16,6.87
29-09-16,8.62
28-09-16,14.18
27-09-16,24.30
26-09-16,20.59
25-09-16,15.74
24-09-16,23.61
23-09-16,19.10
22-09-16,13.95
21-09-16,11.96
20-09-16,11.13
19-09-16,9.13
18-09-16,10.99
17-09-16,16.83
16-09-16,20.39
15-09-16,11.05
14-09-16,23.35
13-09-16,21.73
12-09-16,20.75
11-09-16,21.68
10-09-16,20.01
09-09-16,20.40
08-09-16,19.33
07-09-16,14.40
06-09-16,8.81
05-09-16,6.12
04-09-16,6.95
03-09-16,10.42
02-09-16,12.73
01-09-16,15.07

