Datum Zeit,Niesky PM10
,µg/m³
30-09-16,9
29-09-16,9
28-09-16,17
27-09-16,21
26-09-16,16
25-09-16,16
24-09-16,18
23-09-16,14
22-09-16,9
21-09-16,12
20-09-16,14
19-09-16,17
18-09-16,16
17-09-16,27
16-09-16,24
15-09-16,16
14-09-16,21
13-09-16,25
12-09-16,20
11-09-16,19
10-09-16,20
09-09-16,17
08-09-16,19
07-09-16,13
06-09-16,7
05-09-16,5
04-09-16,9
03-09-16,16
02-09-16,16
01-09-16,14

