Datum Zeit,Freiberg PM2.5
,µg/m³
30-09-16,13.63
29-09-16,13.81
28-09-16,18.18
27-09-16,32.74
26-09-16,31.65
25-09-16,21.38
24-09-16,20.45
23-09-16,20.63
22-09-16,15.67
21-09-16,18.15
20-09-16,17.00
19-09-16,18.01
18-09-16,20.22
17-09-16,27.28
16-09-16,31.47
15-09-16,20.61
14-09-16,33.21
13-09-16,32.56
12-09-16,25.06
11-09-16,22.69
10-09-16,23.66
09-09-16,25.54
08-09-16,25.13
07-09-16,22.39
06-09-16,10.53
05-09-16,7.16
04-09-16,8.29
03-09-16,17.53
02-09-16,22.70
01-09-16,21.43

