Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-09-16,9.14
29-09-16,8.34
28-09-16,16.52
27-09-16,28.98
26-09-16,25.89
25-09-16,16.68
24-09-16,18.73
23-09-16,15.05
22-09-16,14.76
21-09-16,13.20
20-09-16,9.67
19-09-16,9.25
18-09-16,11.18
17-09-16,16.38
16-09-16,18.75
15-09-16,12.92
14-09-16,21.60
13-09-16,19.61
12-09-16,17.54
11-09-16,21.26
10-09-16,20.20
09-09-16,22.25
08-09-16,19.71
07-09-16,14.05
06-09-16,7.75
05-09-16,5.62
04-09-16,6.33
03-09-16,15.34
02-09-16,18.81
01-09-16,18.71

