Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-09-16,2.93
29-09-16,5.85
28-09-16,9.11
27-09-16,17.90
26-09-16,15.27
25-09-16,12.09
24-09-16,19.04
23-09-16,12.46
22-09-16,10.59
21-09-16,8.83
20-09-16,8.42
19-09-16,7.25
18-09-16,10.18
17-09-16,14.27
16-09-16,16.69
15-09-16,8.73
14-09-16,20.80
13-09-16,18.07
12-09-16,16.48
11-09-16,18.69
10-09-16,17.87
09-09-16,15.00
08-09-16,14.73
07-09-16,11.38
06-09-16,7.70
05-09-16,3.97
04-09-16,5.32
03-09-16,7.59
02-09-16,9.53
01-09-16,11.27

