Datum Zeit,Annaberg-Buchholz PM10
,µg/m³
30-09-16,13
29-09-16,9
28-09-16,17
27-09-16,27
26-09-16,23
25-09-16,20
24-09-16,19
23-09-16,14
22-09-16,16
21-09-16,14
20-09-16,17
19-09-16,13
18-09-16,10
17-09-16,12
16-09-16,23
15-09-16,18
14-09-16,28
13-09-16,26
12-09-16,21
11-09-16,18
10-09-16,24
09-09-16,23
08-09-16,20
07-09-16,17
06-09-16,9
05-09-16,6
04-09-16,8
03-09-16,18
02-09-16,20
01-09-16,14

