Datum Zeit,Leipzig-Luetzner Straße PM10
,µg/m³
31-10-06,18
30-10-06,17
29-10-06,14
28-10-06,37
27-10-06,30
26-10-06,22
25-10-06,33
24-10-06,15
23-10-06,18
22-10-06,16
21-10-06,35
20-10-06,60
19-10-06,63
18-10-06,47
17-10-06,48
16-10-06,41
15-10-06,35
14-10-06,74
13-10-06,80
12-10-06,79
11-10-06,78
10-10-06,56
09-10-06,34
08-10-06,24
07-10-06,13
06-10-06,13
05-10-06,32
04-10-06,22
03-10-06,10
02-10-06,18
01-10-06,18

