Datum Zeit,Niesky O3
,µg/m³
01-11-06 00:00,20
31-10-06 23:00,21
31-10-06 22:00,27
31-10-06 21:00,34
31-10-06 20:00,37
31-10-06 19:00,42
31-10-06 18:00,46
31-10-06 17:00,47
31-10-06 16:00,45
31-10-06 15:00,45
31-10-06 14:00,45
31-10-06 13:00,45
31-10-06 12:00,41
31-10-06 11:00,41
31-10-06 10:00,41
31-10-06 09:00,36
31-10-06 08:00,33
31-10-06 07:00,35
31-10-06 06:00,35
31-10-06 05:00,35
31-10-06 04:00,36
31-10-06 03:00,38
31-10-06 02:00,40
31-10-06 01:00,42
31-10-06 00:00,44
30-10-06 23:00,45
30-10-06 22:00,45
30-10-06 21:00,45
30-10-06 20:00,39
30-10-06 19:00,42
30-10-06 18:00,45
30-10-06 17:00,53
30-10-06 16:00,56
30-10-06 15:00,68
30-10-06 14:00,73
30-10-06 13:00,74
30-10-06 12:00,64
30-10-06 11:00,52
30-10-06 10:00,43
30-10-06 09:00,36
30-10-06 08:00,18
30-10-06 07:00,8
30-10-06 06:00,14
30-10-06 05:00,16
30-10-06 04:00,15
30-10-06 03:00,23
30-10-06 02:00,34
30-10-06 01:00,43
30-10-06 00:00,55
29-10-06 23:00,58
29-10-06 22:00,62
29-10-06 21:00,64
29-10-06 20:00,63
29-10-06 19:00,64
29-10-06 18:00,66
29-10-06 17:00,66
29-10-06 16:00,67
29-10-06 15:00,71
29-10-06 14:00,67
29-10-06 13:00,59
29-10-06 12:00,58
29-10-06 11:00,54
29-10-06 10:00,45
29-10-06 09:00,41
29-10-06 08:00,38
29-10-06 07:00,40
29-10-06 06:00,42
29-10-06 05:00,44
29-10-06 04:00,44
29-10-06 03:00,44
29-10-06 02:00,43
29-10-06 01:00,55
29-10-06 00:00,60
28-10-06 23:00,59
28-10-06 22:00,52
28-10-06 21:00,46
28-10-06 20:00,27
28-10-06 19:00,26
28-10-06 18:00,34
28-10-06 17:00,45
28-10-06 16:00,56
28-10-06 15:00,63
28-10-06 14:00,68
28-10-06 13:00,70
28-10-06 12:00,64
28-10-06 11:00,60
28-10-06 10:00,54
28-10-06 09:00,50
28-10-06 08:00,44
28-10-06 07:00,46
28-10-06 06:00,46
28-10-06 05:00,47
28-10-06 04:00,47
28-10-06 03:00,51
28-10-06 02:00,52
28-10-06 01:00,52
28-10-06 00:00,54
27-10-06 23:00,37
27-10-06 22:00,49
27-10-06 21:00,59
27-10-06 20:00,55
27-10-06 19:00,56
27-10-06 18:00,64
27-10-06 17:00,69
27-10-06 16:00,73
27-10-06 15:00,75
27-10-06 14:00,69
27-10-06 13:00,64
27-10-06 12:00,63
27-10-06 11:00,43
27-10-06 10:00,33
27-10-06 09:00,31
27-10-06 08:00,29
27-10-06 07:00,39
27-10-06 06:00,48
27-10-06 05:00,55
27-10-06 04:00,58
27-10-06 03:00,59
27-10-06 02:00,63
27-10-06 01:00,63
27-10-06 00:00,64
26-10-06 23:00,61
26-10-06 22:00,59
26-10-06 21:00,61
26-10-06 20:00,63
26-10-06 19:00,65
26-10-06 18:00,65
26-10-06 17:00,62
26-10-06 16:00,62
26-10-06 15:00,61
26-10-06 14:00,63
26-10-06 13:00,62
26-10-06 12:00,60
26-10-06 11:00,60
26-10-06 10:00,59
26-10-06 09:00,58
26-10-06 08:00,58
26-10-06 07:00,58
26-10-06 06:00,57
26-10-06 05:00,44
26-10-06 04:00,38
26-10-06 03:00,39
26-10-06 02:00,42
26-10-06 01:00,38
26-10-06 00:00,39
