Datum Zeit,Borna PM10
,µg/m³
31-10-06,17
30-10-06,17
29-10-06,11
28-10-06,35
27-10-06,28
26-10-06,23
25-10-06,25
24-10-06,11
23-10-06,20
22-10-06,13
21-10-06,34
20-10-06,62
19-10-06,50
18-10-06,46
17-10-06,36
16-10-06,31
15-10-06,33
14-10-06,59
13-10-06,56
12-10-06,60
11-10-06,58
10-10-06,42
09-10-06,31
08-10-06,19
07-10-06,11
06-10-06,14
05-10-06,28
04-10-06,21
03-10-06,8
02-10-06,19
01-10-06,16

