Datum Zeit,Glauchau FEUCHT
,PROZ
01-03-19 00:00,
28-02-19 23:00,64.9
28-02-19 22:00,66.5
28-02-19 21:00,66.2
28-02-19 20:00,59.2
28-02-19 19:00,53.7
28-02-19 18:00,50.7
28-02-19 17:00,45.6
28-02-19 16:00,43.4
28-02-19 15:00,43.5
28-02-19 14:00,44.9
28-02-19 13:00,46.3
28-02-19 12:00,48.0
28-02-19 11:00,48.5
28-02-19 10:00,45.5
28-02-19 09:00,47.2
28-02-19 08:00,60.8
28-02-19 07:00,57.6
28-02-19 06:00,51.6
28-02-19 05:00,51.9
28-02-19 04:00,49.8
28-02-19 03:00,49.1
28-02-19 02:00,69.0
28-02-19 01:00,79.8
28-02-19 00:00,79.1
27-02-19 23:00,77.7
27-02-19 22:00,75.6
27-02-19 21:00,72.1
27-02-19 20:00,65.3
27-02-19 19:00,56.5
27-02-19 18:00,41.7
27-02-19 17:00,34.1
27-02-19 16:00,32.9
27-02-19 15:00,36.9
27-02-19 14:00,39.5
27-02-19 13:00,39.1
27-02-19 12:00,40.6
27-02-19 11:00,47.2
27-02-19 10:00,55.8
27-02-19 09:00,61.7
27-02-19 08:00,82.2
27-02-19 07:00,83.0
27-02-19 06:00,82.1
27-02-19 05:00,81.8
27-02-19 04:00,81.5
27-02-19 03:00,80.5
27-02-19 02:00,79.1
27-02-19 01:00,77.3
27-02-19 00:00,74.0
26-02-19 23:00,70.3
26-02-19 22:00,65.5
26-02-19 21:00,60.6
26-02-19 20:00,56.3
26-02-19 19:00,46.8
26-02-19 18:00,35.9
26-02-19 17:00,31.7
26-02-19 16:00,30.9
26-02-19 15:00,32.6
26-02-19 14:00,33.6
26-02-19 13:00,37.0
26-02-19 12:00,43.7
26-02-19 11:00,52.8
26-02-19 10:00,60.7
26-02-19 09:00,75.2
26-02-19 08:00,84.6
26-02-19 07:00,84.4
26-02-19 06:00,84.3
26-02-19 05:00,83.4
26-02-19 04:00,81.8
26-02-19 03:00,80.9
26-02-19 02:00,79.9
26-02-19 01:00,77.5
26-02-19 00:00,75.7
25-02-19 23:00,74.7
25-02-19 22:00,72.0
25-02-19 21:00,67.7
25-02-19 20:00,61.9
25-02-19 19:00,55.0
25-02-19 18:00,40.7
25-02-19 17:00,30.4
25-02-19 16:00,27.2
25-02-19 15:00,25.7
25-02-19 14:00,25.1
25-02-19 13:00,28.3
25-02-19 12:00,35.4
25-02-19 11:00,45.7
25-02-19 10:00,57.6
25-02-19 09:00,64.7
25-02-19 08:00,79.8
25-02-19 07:00,80.7
25-02-19 06:00,78.7
25-02-19 05:00,76.6
25-02-19 04:00,76.0
25-02-19 03:00,76.0
25-02-19 02:00,74.9
25-02-19 01:00,74.9
25-02-19 00:00,74.9
24-02-19 23:00,73.2
24-02-19 22:00,71.2
