Datum Zeit,Leipzig-Mitte WINDRI
,GRAD
01-03-19 00:00,
28-02-19 23:00,259
28-02-19 22:00,263
28-02-19 21:00,264
28-02-19 20:00,261
28-02-19 19:00,274
28-02-19 18:00,280
28-02-19 17:00,264
28-02-19 16:00,262
28-02-19 15:00,263
28-02-19 14:00,262
28-02-19 13:00,264
28-02-19 12:00,264
28-02-19 11:00,260
28-02-19 10:00,260
28-02-19 09:00,261
28-02-19 08:00,269
28-02-19 07:00,269
28-02-19 06:00,269
28-02-19 05:00,267
28-02-19 04:00,270
28-02-19 03:00,268
28-02-19 02:00,260
28-02-19 01:00,268
28-02-19 00:00,267
27-02-19 23:00,268
27-02-19 22:00,270
27-02-19 21:00,255
27-02-19 20:00,262
27-02-19 19:00,270
27-02-19 18:00,268
27-02-19 17:00,267
27-02-19 16:00,264
27-02-19 15:00,265
27-02-19 14:00,265
27-02-19 13:00,269
27-02-19 12:00,271
27-02-19 11:00,271
27-02-19 10:00,267
27-02-19 09:00,241
27-02-19 08:00,268
27-02-19 07:00,265
27-02-19 06:00,268
27-02-19 05:00,270
27-02-19 04:00,253
27-02-19 03:00,265
27-02-19 02:00,265
27-02-19 01:00,268
27-02-19 00:00,267
26-02-19 23:00,277
26-02-19 22:00,262
26-02-19 21:00,266
26-02-19 20:00,261
26-02-19 19:00,260
26-02-19 18:00,290
26-02-19 17:00,300
26-02-19 16:00,279
26-02-19 15:00,309
26-02-19 14:00,291
26-02-19 13:00,271
26-02-19 12:00,262
26-02-19 11:00,262
26-02-19 10:00,267
26-02-19 09:00,270
26-02-19 08:00,270
26-02-19 07:00,270
26-02-19 06:00,273
26-02-19 05:00,272
26-02-19 04:00,274
26-02-19 03:00,272
26-02-19 02:00,271
26-02-19 01:00,267
26-02-19 00:00,264
25-02-19 23:00,260
25-02-19 22:00,263
25-02-19 21:00,269
25-02-19 20:00,270
25-02-19 19:00,267
25-02-19 18:00,286
25-02-19 17:00,271
25-02-19 16:00,268
25-02-19 15:00,265
25-02-19 14:00,264
25-02-19 13:00,267
25-02-19 12:00,265
25-02-19 11:00,268
25-02-19 10:00,272
25-02-19 09:00,272
25-02-19 08:00,267
25-02-19 07:00,270
25-02-19 06:00,272
25-02-19 05:00,261
25-02-19 04:00,264
25-02-19 03:00,267
25-02-19 02:00,236
25-02-19 01:00,262
25-02-19 00:00,285
24-02-19 23:00,267
24-02-19 22:00,263
24-02-19 21:00,270
24-02-19 20:00,267
24-02-19 19:00,281
24-02-19 18:00,275
24-02-19 17:00,296
24-02-19 16:00,270
24-02-19 15:00,259
24-02-19 14:00,262
24-02-19 13:00,272
24-02-19 12:00,269
24-02-19 11:00,263
24-02-19 10:00,272
24-02-19 09:00,262
24-02-19 08:00,232
24-02-19 07:00,198
24-02-19 06:00,237
24-02-19 05:00,234
24-02-19 04:00,190
24-02-19 03:00,197
24-02-19 02:00,196
24-02-19 01:00,191
24-02-19 00:00,185
23-02-19 23:00,111
23-02-19 22:00,86
23-02-19 21:00,91
23-02-19 20:00,87
23-02-19 19:00,93
23-02-19 18:00,94
23-02-19 17:00,95
23-02-19 16:00,97
23-02-19 15:00,96
23-02-19 14:00,91
23-02-19 13:00,87
23-02-19 12:00,99
23-02-19 11:00,204
23-02-19 10:00,91
23-02-19 09:00,83
23-02-19 08:00,88
23-02-19 07:00,91
23-02-19 06:00,89
23-02-19 05:00,89
23-02-19 04:00,82
23-02-19 03:00,85
23-02-19 02:00,89
23-02-19 01:00,90
23-02-19 00:00,87
22-02-19 23:00,89
22-02-19 22:00,61
22-02-19 21:00,92
22-02-19 20:00,93
22-02-19 19:00,97
22-02-19 18:00,74
22-02-19 17:00,57
22-02-19 16:00,54
22-02-19 15:00,57
22-02-19 14:00,50
22-02-19 13:00,57
22-02-19 12:00,54
22-02-19 11:00,52
22-02-19 10:00,64
22-02-19 09:00,336
22-02-19 08:00,324
22-02-19 07:00,334
22-02-19 06:00,330
22-02-19 05:00,311
22-02-19 04:00,281
22-02-19 03:00,277
22-02-19 02:00,272
22-02-19 01:00,263
22-02-19 00:00,262
21-02-19 23:00,261
21-02-19 22:00,258
21-02-19 21:00,260
21-02-19 20:00,263
21-02-19 19:00,262
21-02-19 18:00,264
21-02-19 17:00,263
21-02-19 16:00,263
21-02-19 15:00,262
21-02-19 14:00,263
21-02-19 13:00,262
21-02-19 12:00,267
21-02-19 11:00,265
21-02-19 10:00,267
21-02-19 09:00,267
21-02-19 08:00,268
21-02-19 07:00,268
21-02-19 06:00,266
21-02-19 05:00,269
21-02-19 04:00,270
21-02-19 03:00,271
21-02-19 02:00,273
21-02-19 01:00,273
21-02-19 00:00,271
20-02-19 23:00,270
20-02-19 22:00,268
20-02-19 21:00,270
20-02-19 20:00,270
20-02-19 19:00,269
20-02-19 18:00,267
20-02-19 17:00,264
20-02-19 16:00,262
20-02-19 15:00,264
20-02-19 14:00,263
20-02-19 13:00,265
20-02-19 12:00,262
20-02-19 11:00,267
20-02-19 10:00,270
20-02-19 09:00,270
20-02-19 08:00,265
20-02-19 07:00,263
20-02-19 06:00,266
20-02-19 05:00,265
20-02-19 04:00,261
20-02-19 03:00,264
20-02-19 02:00,265
20-02-19 01:00,266
20-02-19 00:00,267
