Datum Zeit,Bautzen WINDRI
,GRAD
17-02-19 17:00,185
17-02-19 16:00,181
17-02-19 15:00,175
17-02-19 14:00,180
17-02-19 13:00,187
17-02-19 12:00,184
17-02-19 11:00,195
17-02-19 10:00,200
17-02-19 09:00,217
17-02-19 08:00,243
17-02-19 07:00,257
17-02-19 06:00,251
17-02-19 05:00,241
17-02-19 04:00,238
17-02-19 03:00,232
17-02-19 02:00,224
17-02-19 01:00,222
17-02-19 00:00,214
16-02-19 23:00,201
16-02-19 22:00,200
16-02-19 21:00,203
16-02-19 20:00,199
16-02-19 19:00,202
16-02-19 18:00,203
16-02-19 17:00,200
16-02-19 16:00,196
16-02-19 15:00,188
16-02-19 14:00,188
16-02-19 13:00,196
16-02-19 12:00,204
16-02-19 11:00,200
16-02-19 10:00,208
16-02-19 09:00,190
16-02-19 08:00,203
16-02-19 07:00,233
16-02-19 06:00,217
16-02-19 05:00,233
16-02-19 04:00,251
16-02-19 03:00,262
16-02-19 02:00,265
16-02-19 01:00,268
16-02-19 00:00,272
15-02-19 23:00,264
15-02-19 22:00,266
15-02-19 21:00,258
15-02-19 20:00,262
15-02-19 19:00,249
15-02-19 18:00,124
15-02-19 17:00,19
15-02-19 16:00,270
15-02-19 15:00,250
15-02-19 14:00,266
15-02-19 13:00,265
15-02-19 12:00,247
15-02-19 11:00,243
15-02-19 10:00,237
15-02-19 09:00,238
15-02-19 08:00,245
15-02-19 07:00,246
15-02-19 06:00,248
15-02-19 05:00,247
15-02-19 04:00,248
15-02-19 03:00,247
15-02-19 02:00,248
15-02-19 01:00,245
15-02-19 00:00,249
14-02-19 23:00,245
14-02-19 22:00,245
14-02-19 21:00,246
14-02-19 20:00,248
14-02-19 19:00,244
14-02-19 18:00,248
14-02-19 17:00,258
14-02-19 16:00,251
14-02-19 15:00,242
14-02-19 14:00,250
14-02-19 13:00,239
14-02-19 12:00,250
14-02-19 11:00,246
14-02-19 10:00,249
14-02-19 09:00,244
14-02-19 08:00,242
14-02-19 07:00,236
14-02-19 06:00,248
14-02-19 05:00,250
14-02-19 04:00,249
14-02-19 03:00,253
14-02-19 02:00,252
14-02-19 01:00,252
14-02-19 00:00,249
13-02-19 23:00,248
13-02-19 22:00,246
13-02-19 21:00,249
13-02-19 20:00,248
13-02-19 19:00,245
13-02-19 18:00,244
13-02-19 17:00,245
13-02-19 16:00,243
13-02-19 15:00,243
13-02-19 14:00,249
13-02-19 13:00,249
13-02-19 12:00,251
13-02-19 11:00,250
13-02-19 10:00,248
13-02-19 09:00,243
13-02-19 08:00,246
13-02-19 07:00,244
13-02-19 06:00,238
13-02-19 05:00,239
13-02-19 04:00,244
13-02-19 03:00,241
13-02-19 02:00,246
13-02-19 01:00,241
13-02-19 00:00,242
12-02-19 23:00,238
12-02-19 22:00,247
12-02-19 21:00,248
12-02-19 20:00,248
12-02-19 19:00,246
12-02-19 18:00,270
12-02-19 17:00,266
12-02-19 16:00,271
12-02-19 15:00,271
12-02-19 14:00,269
12-02-19 13:00,277
12-02-19 12:00,283
12-02-19 11:00,277
12-02-19 10:00,272
12-02-19 09:00,274
12-02-19 08:00,274
12-02-19 07:00,272
12-02-19 06:00,272
12-02-19 05:00,274
12-02-19 04:00,268
12-02-19 03:00,270
12-02-19 02:00,269
12-02-19 01:00,265
12-02-19 00:00,266
11-02-19 23:00,270
11-02-19 22:00,267
11-02-19 21:00,267
11-02-19 20:00,265
11-02-19 19:00,267
11-02-19 18:00,273
11-02-19 17:00,270
11-02-19 16:00,269
11-02-19 15:00,271
