Datum Zeit,Dresden-Winckelmannstr. WINDRI
,GRAD
01-03-19 00:00,
28-02-19 23:00,
28-02-19 22:00,
28-02-19 21:00,
28-02-19 20:00,
28-02-19 19:00,
28-02-19 18:00,
28-02-19 17:00,
28-02-19 16:00,
28-02-19 15:00,
28-02-19 14:00,
28-02-19 13:00,
28-02-19 12:00,
28-02-19 11:00,
28-02-19 10:00,
28-02-19 09:00,
28-02-19 08:00,
28-02-19 07:00,
28-02-19 06:00,
28-02-19 05:00,
28-02-19 04:00,
28-02-19 03:00,
28-02-19 02:00,
28-02-19 01:00,
28-02-19 00:00,
27-02-19 23:00,103
27-02-19 22:00,150
27-02-19 21:00,164
27-02-19 20:00,193
27-02-19 19:00,205
27-02-19 18:00,251
27-02-19 17:00,301
27-02-19 16:00,292
27-02-19 15:00,317
27-02-19 14:00,279
27-02-19 13:00,354
27-02-19 12:00,76
27-02-19 11:00,93
27-02-19 10:00,89
27-02-19 09:00,106
27-02-19 08:00,98
27-02-19 07:00,61
27-02-19 06:00,92
27-02-19 05:00,107
27-02-19 04:00,82
27-02-19 03:00,93
27-02-19 02:00,83
27-02-19 01:00,105
27-02-19 00:00,87
26-02-19 23:00,168
26-02-19 22:00,284
26-02-19 21:00,211
26-02-19 20:00,171
26-02-19 19:00,202
26-02-19 18:00,272
26-02-19 17:00,292
26-02-19 16:00,298
26-02-19 15:00,292
26-02-19 14:00,301
26-02-19 13:00,297
26-02-19 12:00,277
26-02-19 11:00,277
26-02-19 10:00,313
26-02-19 09:00,292
26-02-19 08:00,57
26-02-19 07:00,15
26-02-19 06:00,86
26-02-19 05:00,121
26-02-19 04:00,45
26-02-19 03:00,30
26-02-19 02:00,183
26-02-19 01:00,83
26-02-19 00:00,355
25-02-19 23:00,212
25-02-19 22:00,193
25-02-19 21:00,225
25-02-19 20:00,288
25-02-19 19:00,292
25-02-19 18:00,266
25-02-19 17:00,303
25-02-19 16:00,313
25-02-19 15:00,330
25-02-19 14:00,316
25-02-19 13:00,337
25-02-19 12:00,354
25-02-19 11:00,36
25-02-19 10:00,75
25-02-19 09:00,41
25-02-19 08:00,119
25-02-19 07:00,126
25-02-19 06:00,124
25-02-19 05:00,138
25-02-19 04:00,34
25-02-19 03:00,117
25-02-19 02:00,120
25-02-19 01:00,158
25-02-19 00:00,115
24-02-19 23:00,275
24-02-19 22:00,196
24-02-19 21:00,182
24-02-19 20:00,179
24-02-19 19:00,227
24-02-19 18:00,217
24-02-19 17:00,320
24-02-19 16:00,332
24-02-19 15:00,336
24-02-19 14:00,6
24-02-19 13:00,73
24-02-19 12:00,103
24-02-19 11:00,155
24-02-19 10:00,161
24-02-19 09:00,145
24-02-19 08:00,172
24-02-19 07:00,178
24-02-19 06:00,178
24-02-19 05:00,165
24-02-19 04:00,180
24-02-19 03:00,171
24-02-19 02:00,167
24-02-19 01:00,161
24-02-19 00:00,163
23-02-19 23:00,163
23-02-19 22:00,158
23-02-19 21:00,179
23-02-19 20:00,163
23-02-19 19:00,196
23-02-19 18:00,30
23-02-19 17:00,119
23-02-19 16:00,152
23-02-19 15:00,86
23-02-19 14:00,103
23-02-19 13:00,105
23-02-19 12:00,161
23-02-19 11:00,167
23-02-19 10:00,161
23-02-19 09:00,146
23-02-19 08:00,196
23-02-19 07:00,177
23-02-19 06:00,174
23-02-19 05:00,169
23-02-19 04:00,149
23-02-19 03:00,306
23-02-19 02:00,181
23-02-19 01:00,274
23-02-19 00:00,139
22-02-19 23:00,4
22-02-19 22:00,360
22-02-19 21:00,49
22-02-19 20:00,20
22-02-19 19:00,4
22-02-19 18:00,3
22-02-19 17:00,2
22-02-19 16:00,21
22-02-19 15:00,28
22-02-19 14:00,24
22-02-19 13:00,28
22-02-19 12:00,14
22-02-19 11:00,16
22-02-19 10:00,11
22-02-19 09:00,8
22-02-19 08:00,350
22-02-19 07:00,338
22-02-19 06:00,338
22-02-19 05:00,324
22-02-19 04:00,316
22-02-19 03:00,307
22-02-19 02:00,296
22-02-19 01:00,300
22-02-19 00:00,270
21-02-19 23:00,276
21-02-19 22:00,249
21-02-19 21:00,245
21-02-19 20:00,270
21-02-19 19:00,253
21-02-19 18:00,242
21-02-19 17:00,271
21-02-19 16:00,242
21-02-19 15:00,261
21-02-19 14:00,231
21-02-19 13:00,239
21-02-19 12:00,260
21-02-19 11:00,237
21-02-19 10:00,229
21-02-19 09:00,95
21-02-19 08:00,102
21-02-19 07:00,72
21-02-19 06:00,85
21-02-19 05:00,88
21-02-19 04:00,100
21-02-19 03:00,113
21-02-19 02:00,95
21-02-19 01:00,71
21-02-19 00:00,100
20-02-19 23:00,74
20-02-19 22:00,85
20-02-19 21:00,157
20-02-19 20:00,212
20-02-19 19:00,273
20-02-19 18:00,242
20-02-19 17:00,285
20-02-19 16:00,272
20-02-19 15:00,246
20-02-19 14:00,266
20-02-19 13:00,251
20-02-19 12:00,240
20-02-19 11:00,233
20-02-19 10:00,242
20-02-19 09:00,222
20-02-19 08:00,227
20-02-19 07:00,235
20-02-19 06:00,223
20-02-19 05:00,227
20-02-19 04:00,231
20-02-19 03:00,229
20-02-19 02:00,252
20-02-19 01:00,244
20-02-19 00:00,224
19-02-19 23:00,226
19-02-19 22:00,220
