Datum Zeit,Schkeuditz WINDRI
,GRAD
01-03-19 00:00,245
28-02-19 23:00,293
28-02-19 22:00,317
28-02-19 21:00,301
28-02-19 20:00,310
28-02-19 19:00,308
28-02-19 18:00,304
28-02-19 17:00,275
28-02-19 16:00,275
28-02-19 15:00,262
28-02-19 14:00,270
28-02-19 13:00,272
28-02-19 12:00,266
28-02-19 11:00,248
28-02-19 10:00,249
28-02-19 09:00,243
28-02-19 08:00,230
28-02-19 07:00,218
28-02-19 06:00,227
28-02-19 05:00,210
28-02-19 04:00,208
28-02-19 03:00,204
28-02-19 02:00,192
28-02-19 01:00,197
28-02-19 00:00,201
27-02-19 23:00,214
27-02-19 22:00,211
27-02-19 21:00,165
27-02-19 20:00,195
27-02-19 19:00,215
27-02-19 18:00,241
27-02-19 17:00,236
27-02-19 16:00,242
27-02-19 15:00,235
27-02-19 14:00,242
27-02-19 13:00,225
27-02-19 12:00,207
27-02-19 11:00,201
27-02-19 10:00,189
27-02-19 09:00,196
27-02-19 08:00,186
27-02-19 07:00,162
27-02-19 06:00,210
27-02-19 05:00,183
27-02-19 04:00,196
27-02-19 03:00,160
27-02-19 02:00,246
27-02-19 01:00,231
27-02-19 00:00,246
26-02-19 23:00,224
26-02-19 22:00,313
26-02-19 21:00,267
26-02-19 20:00,295
26-02-19 19:00,289
26-02-19 18:00,324
26-02-19 17:00,319
26-02-19 16:00,306
26-02-19 15:00,324
26-02-19 14:00,313
26-02-19 13:00,291
26-02-19 12:00,314
26-02-19 11:00,264
26-02-19 10:00,235
26-02-19 09:00,246
26-02-19 08:00,240
26-02-19 07:00,252
26-02-19 06:00,228
26-02-19 05:00,234
26-02-19 04:00,236
26-02-19 03:00,218
26-02-19 02:00,180
26-02-19 01:00,231
26-02-19 00:00,244
25-02-19 23:00,278
25-02-19 22:00,247
25-02-19 21:00,244
25-02-19 20:00,283
25-02-19 19:00,298
25-02-19 18:00,288
25-02-19 17:00,315
25-02-19 16:00,279
25-02-19 15:00,267
25-02-19 14:00,266
25-02-19 13:00,262
25-02-19 12:00,253
25-02-19 11:00,235
25-02-19 10:00,210
25-02-19 09:00,193
25-02-19 08:00,180
25-02-19 07:00,190
25-02-19 06:00,207
25-02-19 05:00,177
25-02-19 04:00,192
25-02-19 03:00,170
25-02-19 02:00,172
25-02-19 01:00,153
25-02-19 00:00,154
24-02-19 23:00,189
24-02-19 22:00,191
24-02-19 21:00,201
24-02-19 20:00,175
24-02-19 19:00,157
24-02-19 18:00,186
24-02-19 17:00,115
24-02-19 16:00,101
24-02-19 15:00,99
24-02-19 14:00,228
24-02-19 13:00,199
24-02-19 12:00,191
24-02-19 11:00,165
24-02-19 10:00,170
24-02-19 09:00,195
24-02-19 08:00,175
24-02-19 07:00,159
24-02-19 06:00,157
24-02-19 05:00,164
24-02-19 04:00,142
24-02-19 03:00,155
24-02-19 02:00,130
24-02-19 01:00,134
24-02-19 00:00,127
23-02-19 23:00,134
23-02-19 22:00,112
23-02-19 21:00,88
23-02-19 20:00,88
23-02-19 19:00,76
23-02-19 18:00,96
23-02-19 17:00,123
23-02-19 16:00,120
23-02-19 15:00,82
23-02-19 14:00,64
23-02-19 13:00,120
23-02-19 12:00,163
23-02-19 11:00,166
23-02-19 10:00,108
23-02-19 09:00,80
23-02-19 08:00,54
23-02-19 07:00,77
23-02-19 06:00,77
23-02-19 05:00,71
23-02-19 04:00,83
23-02-19 03:00,68
23-02-19 02:00,79
23-02-19 01:00,77
23-02-19 00:00,72
22-02-19 23:00,57
22-02-19 22:00,82
22-02-19 21:00,94
22-02-19 20:00,76
22-02-19 19:00,50
22-02-19 18:00,74
22-02-19 17:00,59
22-02-19 16:00,41
22-02-19 15:00,44
22-02-19 14:00,44
22-02-19 13:00,45
22-02-19 12:00,40
22-02-19 11:00,38
22-02-19 10:00,24
22-02-19 09:00,341
22-02-19 08:00,335
22-02-19 07:00,340
22-02-19 06:00,329
22-02-19 05:00,315
22-02-19 04:00,309
22-02-19 03:00,298
22-02-19 02:00,300
22-02-19 01:00,283
22-02-19 00:00,273
21-02-19 23:00,267
21-02-19 22:00,267
21-02-19 21:00,263
21-02-19 20:00,252
21-02-19 19:00,245
21-02-19 18:00,264
21-02-19 17:00,262
21-02-19 16:00,259
21-02-19 15:00,262
21-02-19 14:00,247
21-02-19 13:00,245
21-02-19 12:00,245
21-02-19 11:00,239
21-02-19 10:00,231
21-02-19 09:00,212
21-02-19 08:00,220
21-02-19 07:00,209
21-02-19 06:00,221
21-02-19 05:00,217
21-02-19 04:00,213
21-02-19 03:00,209
21-02-19 02:00,207
21-02-19 01:00,210
21-02-19 00:00,204
20-02-19 23:00,214
20-02-19 22:00,213
20-02-19 21:00,221
20-02-19 20:00,214
20-02-19 19:00,228
20-02-19 18:00,244
20-02-19 17:00,247
20-02-19 16:00,242
20-02-19 15:00,246
20-02-19 14:00,247
20-02-19 13:00,244
20-02-19 12:00,250
20-02-19 11:00,237
20-02-19 10:00,221
20-02-19 09:00,216
20-02-19 08:00,217
20-02-19 07:00,221
20-02-19 06:00,229
20-02-19 05:00,230
20-02-19 04:00,249
20-02-19 03:00,241
20-02-19 02:00,225
20-02-19 01:00,209
20-02-19 00:00,268
19-02-19 23:00,239
19-02-19 22:00,236
19-02-19 21:00,235
19-02-19 20:00,223
19-02-19 19:00,231
19-02-19 18:00,243
19-02-19 17:00,235
19-02-19 16:00,236
19-02-19 15:00,237
19-02-19 14:00,241
19-02-19 13:00,248
19-02-19 12:00,240
19-02-19 11:00,233
19-02-19 10:00,203
19-02-19 09:00,206
19-02-19 08:00,210
19-02-19 07:00,211
19-02-19 06:00,207
19-02-19 05:00,191
19-02-19 04:00,151
19-02-19 03:00,145
19-02-19 02:00,160
19-02-19 01:00,186
19-02-19 00:00,193
18-02-19 23:00,168
18-02-19 22:00,198
18-02-19 21:00,187
18-02-19 20:00,127
18-02-19 19:00,115
18-02-19 18:00,147
18-02-19 17:00,181
18-02-19 16:00,186
18-02-19 15:00,191
18-02-19 14:00,209
18-02-19 13:00,201
18-02-19 12:00,201
18-02-19 11:00,199
18-02-19 10:00,199
18-02-19 09:00,182
18-02-19 08:00,167
18-02-19 07:00,178
18-02-19 06:00,181
18-02-19 05:00,182
18-02-19 04:00,164
18-02-19 03:00,166
18-02-19 02:00,173
18-02-19 01:00,162
18-02-19 00:00,154
17-02-19 23:00,178
17-02-19 22:00,168
17-02-19 21:00,164
17-02-19 20:00,139
17-02-19 19:00,98
17-02-19 18:00,86
17-02-19 17:00,140
17-02-19 16:00,140
17-02-19 15:00,178
17-02-19 14:00,185
17-02-19 13:00,182
17-02-19 12:00,184
17-02-19 11:00,173
17-02-19 10:00,162
17-02-19 09:00,161
17-02-19 08:00,171
17-02-19 07:00,159
17-02-19 06:00,170
17-02-19 05:00,197
17-02-19 04:00,188
17-02-19 03:00,185
17-02-19 02:00,186
17-02-19 01:00,199
17-02-19 00:00,200
16-02-19 23:00,194
16-02-19 22:00,201
16-02-19 21:00,219
16-02-19 20:00,206
16-02-19 19:00,210
16-02-19 18:00,216
16-02-19 17:00,260
16-02-19 16:00,274
16-02-19 15:00,232
16-02-19 14:00,206
16-02-19 13:00,187
16-02-19 12:00,190
16-02-19 11:00,189
16-02-19 10:00,204
16-02-19 09:00,171
16-02-19 08:00,139
16-02-19 07:00,157
16-02-19 06:00,162
16-02-19 05:00,150
16-02-19 04:00,155
16-02-19 03:00,139
16-02-19 02:00,128
16-02-19 01:00,133
16-02-19 00:00,148
15-02-19 23:00,128
15-02-19 22:00,114
15-02-19 21:00,120
15-02-19 20:00,140
15-02-19 19:00,132
15-02-19 18:00,134
15-02-19 17:00,176
15-02-19 16:00,176
15-02-19 15:00,176
15-02-19 14:00,170
15-02-19 13:00,173
15-02-19 12:00,206
15-02-19 11:00,209
15-02-19 10:00,199
15-02-19 09:00,182
15-02-19 08:00,174
15-02-19 07:00,180
15-02-19 06:00,169
15-02-19 05:00,176
15-02-19 04:00,178
15-02-19 03:00,172
15-02-19 02:00,163
15-02-19 01:00,173
15-02-19 00:00,208
14-02-19 23:00,217
14-02-19 22:00,193
14-02-19 21:00,197
14-02-19 20:00,209
14-02-19 19:00,209
14-02-19 18:00,207
14-02-19 17:00,229
14-02-19 16:00,238
14-02-19 15:00,225
14-02-19 14:00,229
14-02-19 13:00,249
14-02-19 12:00,246
14-02-19 11:00,219
14-02-19 10:00,207
14-02-19 09:00,211
14-02-19 08:00,188
14-02-19 07:00,196
14-02-19 06:00,207
14-02-19 05:00,223
14-02-19 04:00,190
14-02-19 03:00,230
14-02-19 02:00,247
14-02-19 01:00,248
14-02-19 00:00,236
13-02-19 23:00,241
13-02-19 22:00,247
13-02-19 21:00,243
13-02-19 20:00,246
13-02-19 19:00,237
13-02-19 18:00,236
13-02-19 17:00,249
13-02-19 16:00,250
13-02-19 15:00,246
13-02-19 14:00,245
13-02-19 13:00,246
13-02-19 12:00,251
13-02-19 11:00,248
13-02-19 10:00,241
13-02-19 09:00,231
13-02-19 08:00,229
13-02-19 07:00,231
13-02-19 06:00,234
13-02-19 05:00,229
13-02-19 04:00,233
13-02-19 03:00,243
13-02-19 02:00,249
13-02-19 01:00,248
13-02-19 00:00,242
12-02-19 23:00,240
12-02-19 22:00,240
12-02-19 21:00,243
12-02-19 20:00,263
12-02-19 19:00,263
12-02-19 18:00,268
12-02-19 17:00,301
12-02-19 16:00,303
12-02-19 15:00,297
12-02-19 14:00,296
12-02-19 13:00,319
12-02-19 12:00,292
12-02-19 11:00,291
12-02-19 10:00,289
12-02-19 09:00,277
12-02-19 08:00,269
12-02-19 07:00,285
12-02-19 06:00,275
12-02-19 05:00,285
12-02-19 04:00,284
12-02-19 03:00,287
12-02-19 02:00,283
12-02-19 01:00,279
12-02-19 00:00,280
11-02-19 23:00,290
11-02-19 22:00,292
11-02-19 21:00,286
11-02-19 20:00,287
11-02-19 19:00,285
11-02-19 18:00,287
11-02-19 17:00,297
11-02-19 16:00,290
11-02-19 15:00,283
11-02-19 14:00,290
11-02-19 13:00,281
11-02-19 12:00,272
11-02-19 11:00,260
11-02-19 10:00,250
11-02-19 09:00,257
11-02-19 08:00,259
11-02-19 07:00,260
11-02-19 06:00,267
11-02-19 05:00,264
11-02-19 04:00,261
11-02-19 03:00,258
11-02-19 02:00,253
11-02-19 01:00,241
11-02-19 00:00,234
10-02-19 23:00,231
10-02-19 22:00,236
10-02-19 21:00,223
10-02-19 20:00,225
10-02-19 19:00,204
10-02-19 18:00,200
10-02-19 17:00,197
10-02-19 16:00,191
10-02-19 15:00,192
10-02-19 14:00,185
10-02-19 13:00,187
10-02-19 12:00,170
10-02-19 11:00,164
10-02-19 10:00,171
10-02-19 09:00,169
10-02-19 08:00,167
10-02-19 07:00,170
10-02-19 06:00,167
10-02-19 05:00,162
10-02-19 04:00,191
10-02-19 03:00,194
10-02-19 02:00,201
10-02-19 01:00,207
10-02-19 00:00,210
09-02-19 23:00,212
09-02-19 22:00,226
09-02-19 21:00,220
09-02-19 20:00,201
09-02-19 19:00,201
09-02-19 18:00,206
09-02-19 17:00,220
09-02-19 16:00,236
09-02-19 15:00,238
09-02-19 14:00,240
09-02-19 13:00,237
09-02-19 12:00,241
09-02-19 11:00,223
