Datum Zeit,Plauen-DWD WINDRI
19-02-19 18:00,222
19-02-19 17:00,218
19-02-19 16:00,213
19-02-19 15:00,225
19-02-19 14:00,241
19-02-19 13:00,233
19-02-19 12:00,220
19-02-19 11:00,204
19-02-19 10:00,197
19-02-19 09:00,197
19-02-19 08:00,222
19-02-19 07:00,211
19-02-19 06:00,210
19-02-19 05:00,200
19-02-19 04:00,204
19-02-19 03:00,201
19-02-19 02:00,200
19-02-19 01:00,198
19-02-19 00:00,200
18-02-19 23:00,193
18-02-19 22:00,209
18-02-19 21:00,204
18-02-19 20:00,203
18-02-19 19:00,202
18-02-19 18:00,213
18-02-19 17:00,208
18-02-19 16:00,197
18-02-19 15:00,193
18-02-19 14:00,199
18-02-19 13:00,190
18-02-19 12:00,178
18-02-19 11:00,180
18-02-19 10:00,210
18-02-19 09:00,217
18-02-19 08:00,225
18-02-19 07:00,242
18-02-19 06:00,218
18-02-19 05:00,216
18-02-19 04:00,208
18-02-19 03:00,201
18-02-19 02:00,196
18-02-19 01:00,194
18-02-19 00:00,193
17-02-19 23:00,342
17-02-19 22:00,358
17-02-19 21:00,192
17-02-19 20:00,178
17-02-19 19:00,181
17-02-19 18:00,163
17-02-19 17:00,166
17-02-19 16:00,167
17-02-19 15:00,165
17-02-19 14:00,178
17-02-19 13:00,175
17-02-19 12:00,175
17-02-19 11:00,182
17-02-19 10:00,197
17-02-19 09:00,210
17-02-19 08:00,207
17-02-19 07:00,212
17-02-19 06:00,212
17-02-19 05:00,265
17-02-19 04:00,195
17-02-19 03:00,197
17-02-19 02:00,198
17-02-19 01:00,199
17-02-19 00:00,205
16-02-19 23:00,207
16-02-19 22:00,198
16-02-19 21:00,192
16-02-19 20:00,185
16-02-19 19:00,194
16-02-19 18:00,198
16-02-19 17:00,180
16-02-19 16:00,168
16-02-19 15:00,171
16-02-19 14:00,174
16-02-19 13:00,167
16-02-19 12:00,174
16-02-19 11:00,188
16-02-19 10:00,184
16-02-19 09:00,192
16-02-19 08:00,196
16-02-19 07:00,209
16-02-19 06:00,222
16-02-19 05:00,221
16-02-19 04:00,220
16-02-19 03:00,222
16-02-19 02:00,212
16-02-19 01:00,214
16-02-19 00:00,213
15-02-19 23:00,212
15-02-19 22:00,218
15-02-19 21:00,212
15-02-19 20:00,212
15-02-19 19:00,201
15-02-19 18:00,199
15-02-19 17:00,203
15-02-19 16:00,226
15-02-19 15:00,265
15-02-19 14:00,226
15-02-19 13:00,208
15-02-19 12:00,209
15-02-19 11:00,201
15-02-19 10:00,205
15-02-19 09:00,234
15-02-19 08:00,229
15-02-19 07:00,223
15-02-19 06:00,217
15-02-19 05:00,213
15-02-19 04:00,226
15-02-19 03:00,359
15-02-19 02:00,225
15-02-19 01:00,210
15-02-19 00:00,215
14-02-19 23:00,204
14-02-19 22:00,202
14-02-19 21:00,201
14-02-19 20:00,202
14-02-19 19:00,203
14-02-19 18:00,197
14-02-19 17:00,206
14-02-19 16:00,234
14-02-19 15:00,206
14-02-19 14:00,220
14-02-19 13:00,206
14-02-19 12:00,190
14-02-19 11:00,188
14-02-19 10:00,196
14-02-19 09:00,218
14-02-19 08:00,201
14-02-19 07:00,344
14-02-19 06:00,201
14-02-19 05:00,200
14-02-19 04:00,205
14-02-19 03:00,192
14-02-19 02:00,188
14-02-19 01:00,2
14-02-19 00:00,191
13-02-19 23:00,192
13-02-19 22:00,196
13-02-19 21:00,192
13-02-19 20:00,194
13-02-19 19:00,203
13-02-19 18:00,210
13-02-19 17:00,323
13-02-19 16:00,215
13-02-19 15:00,213
13-02-19 14:00,226
13-02-19 13:00,101
13-02-19 12:00,216
13-02-19 11:00,212
13-02-19 10:00,209
13-02-19 09:00,212
13-02-19 08:00,202
13-02-19 07:00,356
13-02-19 06:00,221
13-02-19 05:00,218
13-02-19 04:00,356
13-02-19 03:00,205
13-02-19 02:00,215
13-02-19 01:00,232
13-02-19 00:00,254
12-02-19 23:00,228
12-02-19 22:00,235
12-02-19 21:00,227
12-02-19 20:00,272
12-02-19 19:00,289
12-02-19 18:00,289
12-02-19 17:00,293
12-02-19 16:00,307
12-02-19 15:00,310
12-02-19 14:00,311
12-02-19 13:00,306
12-02-19 12:00,313
12-02-19 11:00,306
12-02-19 10:00,303
12-02-19 09:00,332
12-02-19 08:00,286
12-02-19 07:00,297
12-02-19 06:00,313
12-02-19 05:00,301
12-02-19 04:00,307
12-02-19 03:00,306
12-02-19 02:00,313
12-02-19 01:00,303
12-02-19 00:00,310
11-02-19 23:00,314
11-02-19 22:00,312
11-02-19 21:00,307
11-02-19 20:00,296
11-02-19 19:00,299
11-02-19 18:00,299
11-02-19 17:00,299
11-02-19 16:00,300
11-02-19 15:00,302
11-02-19 14:00,296
11-02-19 13:00,293
11-02-19 12:00,294
11-02-19 11:00,297
11-02-19 10:00,298
11-02-19 09:00,293
11-02-19 08:00,293
11-02-19 07:00,300
11-02-19 06:00,293
11-02-19 05:00,257
11-02-19 04:00,254
11-02-19 03:00,231
11-02-19 02:00,224
11-02-19 01:00,218
11-02-19 00:00,221
10-02-19 23:00,232
10-02-19 22:00,219
10-02-19 21:00,221
10-02-19 20:00,214
10-02-19 19:00,199
10-02-19 18:00,183
10-02-19 17:00,207
10-02-19 16:00,190
10-02-19 15:00,182
10-02-19 14:00,177
10-02-19 13:00,174
10-02-19 12:00,174
10-02-19 11:00,176
10-02-19 10:00,172
10-02-19 09:00,169
10-02-19 08:00,167
10-02-19 07:00,163
10-02-19 06:00,167
10-02-19 05:00,177
10-02-19 04:00,172
10-02-19 03:00,188
10-02-19 02:00,196
10-02-19 01:00,201
10-02-19 00:00,208
09-02-19 23:00,201
09-02-19 22:00,187
09-02-19 21:00,199
09-02-19 20:00,208
09-02-19 19:00,208
09-02-19 18:00,211
09-02-19 17:00,208
09-02-19 16:00,117
09-02-19 15:00,221
09-02-19 14:00,225
09-02-19 13:00,219
09-02-19 12:00,221
09-02-19 11:00,217
09-02-19 10:00,208
09-02-19 09:00,198
09-02-19 08:00,200
09-02-19 07:00,181
09-02-19 06:00,177
09-02-19 05:00,167
09-02-19 04:00,171
09-02-19 03:00,171
09-02-19 02:00,170
09-02-19 01:00,169
09-02-19 00:00,177
08-02-19 23:00,172
08-02-19 22:00,172
08-02-19 21:00,174
08-02-19 20:00,173
08-02-19 19:00,175
08-02-19 18:00,171
08-02-19 17:00,177
08-02-19 16:00,196
08-02-19 15:00,196
08-02-19 14:00,206
08-02-19 13:00,203
08-02-19 12:00,197
08-02-19 11:00,200
08-02-19 10:00,200
08-02-19 09:00,186
08-02-19 08:00,182
08-02-19 07:00,189
08-02-19 06:00,190
08-02-19 05:00,193
08-02-19 04:00,210
08-02-19 03:00,213
08-02-19 02:00,194
08-02-19 01:00,190
08-02-19 00:00,199
07-02-19 23:00,201
07-02-19 22:00,357
07-02-19 21:00,189
07-02-19 20:00,199
07-02-19 19:00,182
07-02-19 18:00,168
07-02-19 17:00,170
07-02-19 16:00,169
07-02-19 15:00,166
07-02-19 14:00,173
07-02-19 13:00,178
07-02-19 12:00,184
07-02-19 11:00,184
07-02-19 10:00,180
07-02-19 09:00,190
07-02-19 08:00,181
07-02-19 07:00,184
07-02-19 06:00,196
07-02-19 05:00,205
07-02-19 04:00,198
07-02-19 03:00,197
07-02-19 02:00,192
07-02-19 01:00,191
07-02-19 00:00,193
06-02-19 23:00,185
06-02-19 22:00,185
06-02-19 21:00,196
06-02-19 20:00,192
06-02-19 19:00,184
06-02-19 18:00,179
06-02-19 17:00,177
06-02-19 16:00,173
06-02-19 15:00,174
06-02-19 14:00,174
06-02-19 13:00,178
06-02-19 12:00,180
06-02-19 11:00,177
06-02-19 10:00,170
06-02-19 09:00,165
06-02-19 08:00,180
06-02-19 07:00,187
06-02-19 06:00,187
06-02-19 05:00,221
06-02-19 04:00,192
06-02-19 03:00,200
06-02-19 02:00,198
06-02-19 01:00,190
06-02-19 00:00,183
05-02-19 23:00,185
05-02-19 22:00,187
05-02-19 21:00,186
05-02-19 20:00,187
05-02-19 19:00,194
05-02-19 18:00,189
05-02-19 17:00,182
05-02-19 16:00,185
05-02-19 15:00,177
05-02-19 14:00,191
05-02-19 13:00,196
05-02-19 12:00,195
05-02-19 11:00,186
05-02-19 10:00,188
05-02-19 09:00,187
05-02-19 08:00,176
05-02-19 07:00,182
05-02-19 06:00,182
05-02-19 05:00,175
05-02-19 04:00,179
05-02-19 03:00,178
05-02-19 02:00,176
05-02-19 01:00,178
05-02-19 00:00,179
04-02-19 23:00,182
04-02-19 22:00,182
04-02-19 21:00,172
04-02-19 20:00,164
04-02-19 19:00,173
04-02-19 18:00,185
04-02-19 17:00,198
04-02-19 16:00,201
04-02-19 15:00,201
04-02-19 14:00,208
04-02-19 13:00,193
04-02-19 12:00,189
04-02-19 11:00,192
04-02-19 10:00,201
04-02-19 09:00,201
04-02-19 08:00,208
04-02-19 07:00,202
04-02-19 06:00,230
04-02-19 05:00,258
04-02-19 04:00,279
04-02-19 03:00,265
04-02-19 02:00,285
04-02-19 01:00,311
04-02-19 00:00,313
03-02-19 23:00,321
03-02-19 22:00,329
03-02-19 21:00,329
03-02-19 20:00,336
03-02-19 19:00,347
03-02-19 18:00,339
03-02-19 17:00,343
03-02-19 16:00,345
03-02-19 15:00,345
03-02-19 14:00,346
03-02-19 13:00,344
03-02-19 12:00,347
03-02-19 11:00,351
03-02-19 10:00,355
03-02-19 09:00,351
03-02-19 08:00,1
03-02-19 07:00,9
03-02-19 06:00,6
03-02-19 05:00,9
03-02-19 04:00,3
03-02-19 03:00,10
03-02-19 02:00,7
03-02-19 01:00,353
03-02-19 00:00,57
02-02-19 23:00,7
02-02-19 22:00,236
02-02-19 21:00,182
02-02-19 20:00,187
02-02-19 19:00,183
02-02-19 18:00,187
02-02-19 17:00,195
02-02-19 16:00,208
02-02-19 15:00,191
02-02-19 14:00,189
02-02-19 13:00,195
02-02-19 12:00,199
02-02-19 11:00,198
02-02-19 10:00,203
02-02-19 09:00,360
02-02-19 08:00,236
02-02-19 07:00,32
02-02-19 06:00,97
02-02-19 05:00,36
02-02-19 04:00,59
02-02-19 03:00,61
02-02-19 02:00,37
02-02-19 01:00,17
02-02-19 00:00,270
01-02-19 23:00,253
01-02-19 22:00,210
01-02-19 21:00,196
01-02-19 20:00,171
01-02-19 19:00,175
01-02-19 18:00,210
01-02-19 17:00,224
01-02-19 16:00,215
01-02-19 15:00,178
01-02-19 14:00,182
01-02-19 13:00,178
01-02-19 12:00,174
01-02-19 11:00,172
01-02-19 10:00,171
01-02-19 09:00,174
01-02-19 08:00,179
01-02-19 07:00,178
01-02-19 06:00,165
01-02-19 05:00,173
01-02-19 04:00,170
01-02-19 03:00,196
01-02-19 02:00,217
01-02-19 01:00,183

