Datum Zeit,Schwartenberg FEUCHT
,PROZ
01-03-19 00:00,
28-02-19 23:00,
28-02-19 22:00,
28-02-19 21:00,
28-02-19 20:00,
28-02-19 19:00,
28-02-19 18:00,
28-02-19 17:00,
28-02-19 16:00,
28-02-19 15:00,
28-02-19 14:00,
28-02-19 13:00,
28-02-19 12:00,
28-02-19 11:00,56.7
28-02-19 10:00,56.0
28-02-19 09:00,50.2
28-02-19 08:00,45.5
28-02-19 07:00,42.8
28-02-19 06:00,39.2
28-02-19 05:00,36.7
28-02-19 04:00,34.3
28-02-19 03:00,34.2
28-02-19 02:00,34.9
28-02-19 01:00,38.7
28-02-19 00:00,42.0
27-02-19 23:00,44.9
27-02-19 22:00,46.4
27-02-19 21:00,48.3
27-02-19 20:00,48.5
27-02-19 19:00,48.2
27-02-19 18:00,47.7
27-02-19 17:00,47.1
27-02-19 16:00,47.7
27-02-19 15:00,50.1
27-02-19 14:00,49.5
27-02-19 13:00,52.4
27-02-19 12:00,51.5
27-02-19 11:00,51.2
27-02-19 10:00,49.1
27-02-19 09:00,52.5
27-02-19 08:00,54.4
27-02-19 07:00,53.8
27-02-19 06:00,52.5
27-02-19 05:00,52.1
27-02-19 04:00,52.4
27-02-19 03:00,52.9
27-02-19 02:00,52.1
27-02-19 01:00,50.8
27-02-19 00:00,50.6
26-02-19 23:00,49.4
26-02-19 22:00,47.8
26-02-19 21:00,45.8
26-02-19 20:00,46.1
26-02-19 19:00,44.9
26-02-19 18:00,44.0
26-02-19 17:00,43.6
26-02-19 16:00,42.1
26-02-19 15:00,42.1
26-02-19 14:00,43.3
26-02-19 13:00,45.9
26-02-19 12:00,46.9
26-02-19 11:00,48.8
26-02-19 10:00,49.0
26-02-19 09:00,48.9
26-02-19 08:00,50.0
26-02-19 07:00,48.7
26-02-19 06:00,46.0
26-02-19 05:00,44.3
26-02-19 04:00,42.7
26-02-19 03:00,40.6
26-02-19 02:00,40.8
26-02-19 01:00,41.2
26-02-19 00:00,39.3
25-02-19 23:00,38.7
25-02-19 22:00,36.3
25-02-19 21:00,34.4
25-02-19 20:00,31.3
25-02-19 19:00,29.7
25-02-19 18:00,27.9
25-02-19 17:00,30.6
25-02-19 16:00,33.6
25-02-19 15:00,34.4
25-02-19 14:00,33.4
25-02-19 13:00,35.7
25-02-19 12:00,29.5
25-02-19 11:00,35.2
25-02-19 10:00,44.3
25-02-19 09:00,37.1
25-02-19 08:00,29.2
25-02-19 07:00,21.7
25-02-19 06:00,17.3
25-02-19 05:00,18.2
25-02-19 04:00,20.4
25-02-19 03:00,21.0
25-02-19 02:00,20.4
25-02-19 01:00,19.5
25-02-19 00:00,19.2
24-02-19 23:00,18.7
24-02-19 22:00,19.3
24-02-19 21:00,20.7
24-02-19 20:00,20.0
