Datum Zeit,Plauen-Sued WINDRI
,GRAD
01-03-19 00:00,
28-02-19 23:00,318
28-02-19 22:00,185
28-02-19 21:00,187
28-02-19 20:00,185
28-02-19 19:00,183
28-02-19 18:00,234
28-02-19 17:00,226
28-02-19 16:00,233
28-02-19 15:00,233
28-02-19 14:00,217
28-02-19 13:00,223
28-02-19 12:00,246
28-02-19 11:00,234
28-02-19 10:00,201
28-02-19 09:00,191
28-02-19 08:00,193
28-02-19 07:00,197
28-02-19 06:00,188
28-02-19 05:00,211
28-02-19 04:00,200
28-02-19 03:00,60
28-02-19 02:00,151
28-02-19 01:00,186
28-02-19 00:00,196
27-02-19 23:00,173
27-02-19 22:00,177
27-02-19 21:00,186
27-02-19 20:00,179
27-02-19 19:00,181
27-02-19 18:00,191
27-02-19 17:00,292
27-02-19 16:00,320
27-02-19 15:00,248
27-02-19 14:00,246
27-02-19 13:00,268
27-02-19 12:00,319
27-02-19 11:00,305
27-02-19 10:00,297
27-02-19 09:00,280
27-02-19 08:00,185
27-02-19 07:00,177
27-02-19 06:00,176
27-02-19 05:00,186
27-02-19 04:00,170
27-02-19 03:00,170
27-02-19 02:00,183
27-02-19 01:00,183
27-02-19 00:00,184
26-02-19 23:00,188
26-02-19 22:00,182
26-02-19 21:00,178
26-02-19 20:00,182
26-02-19 19:00,164
26-02-19 18:00,24
26-02-19 17:00,11
26-02-19 16:00,358
26-02-19 15:00,339
26-02-19 14:00,14
26-02-19 13:00,1
26-02-19 12:00,308
26-02-19 11:00,296
26-02-19 10:00,318
26-02-19 09:00,232
26-02-19 08:00,188
26-02-19 07:00,128
26-02-19 06:00,174
26-02-19 05:00,186
26-02-19 04:00,187
26-02-19 03:00,171
26-02-19 02:00,187
26-02-19 01:00,209
26-02-19 00:00,183
25-02-19 23:00,183
25-02-19 22:00,184
25-02-19 21:00,184
25-02-19 20:00,179
25-02-19 19:00,172
25-02-19 18:00,359
25-02-19 17:00,348
25-02-19 16:00,320
25-02-19 15:00,350
25-02-19 14:00,23
25-02-19 13:00,15
25-02-19 12:00,310
25-02-19 11:00,291
25-02-19 10:00,288
25-02-19 09:00,329
25-02-19 08:00,177
25-02-19 07:00,165
25-02-19 06:00,192
25-02-19 05:00,131
25-02-19 04:00,177
25-02-19 03:00,173
25-02-19 02:00,180
25-02-19 01:00,169
25-02-19 00:00,183
24-02-19 23:00,167
24-02-19 22:00,176
24-02-19 21:00,180
24-02-19 20:00,183
24-02-19 19:00,173
24-02-19 18:00,18
24-02-19 17:00,21
24-02-19 16:00,12
24-02-19 15:00,342
24-02-19 14:00,284
24-02-19 13:00,296
24-02-19 12:00,278
24-02-19 11:00,199
24-02-19 10:00,274
24-02-19 09:00,280
24-02-19 08:00,124
24-02-19 07:00,181
24-02-19 06:00,257
24-02-19 05:00,185
24-02-19 04:00,191
24-02-19 03:00,204
24-02-19 02:00,195
24-02-19 01:00,211
24-02-19 00:00,213
23-02-19 23:00,277
23-02-19 22:00,266
23-02-19 21:00,201
23-02-19 20:00,185
23-02-19 19:00,190
23-02-19 18:00,202
23-02-19 17:00,183
23-02-19 16:00,156
23-02-19 15:00,159
23-02-19 14:00,170
23-02-19 13:00,173
23-02-19 12:00,176
23-02-19 11:00,165
23-02-19 10:00,188
23-02-19 09:00,207
23-02-19 08:00,228
23-02-19 07:00,237
23-02-19 06:00,229
23-02-19 05:00,200
23-02-19 04:00,210
23-02-19 03:00,181
23-02-19 02:00,176
23-02-19 01:00,167
23-02-19 00:00,88
22-02-19 23:00,32
22-02-19 22:00,28
22-02-19 21:00,4
22-02-19 20:00,22
22-02-19 19:00,11
22-02-19 18:00,355
22-02-19 17:00,1
22-02-19 16:00,27
22-02-19 15:00,20
22-02-19 14:00,3
22-02-19 13:00,19
22-02-19 12:00,15
22-02-19 11:00,352
22-02-19 10:00,353
22-02-19 09:00,347
22-02-19 08:00,344
22-02-19 07:00,337
22-02-19 06:00,331
22-02-19 05:00,321
22-02-19 04:00,316
22-02-19 03:00,309
22-02-19 02:00,295
22-02-19 01:00,249
22-02-19 00:00,185
21-02-19 23:00,183
21-02-19 22:00,189
21-02-19 21:00,197
21-02-19 20:00,189
21-02-19 19:00,205
21-02-19 18:00,208
21-02-19 17:00,212
21-02-19 16:00,226
21-02-19 15:00,222
21-02-19 14:00,240
21-02-19 13:00,253
21-02-19 12:00,265
21-02-19 11:00,257
21-02-19 10:00,226
21-02-19 09:00,262
21-02-19 08:00,259
21-02-19 07:00,353
21-02-19 06:00,183
21-02-19 05:00,132
21-02-19 04:00,153
21-02-19 03:00,179
21-02-19 02:00,176
21-02-19 01:00,163
21-02-19 00:00,155
20-02-19 23:00,244
20-02-19 22:00,204
20-02-19 21:00,194
20-02-19 20:00,187
20-02-19 19:00,191
20-02-19 18:00,201
20-02-19 17:00,211
20-02-19 16:00,224
20-02-19 15:00,226
20-02-19 14:00,234
20-02-19 13:00,241
20-02-19 12:00,248
20-02-19 11:00,206
20-02-19 10:00,188
20-02-19 09:00,189
20-02-19 08:00,190
20-02-19 07:00,185
20-02-19 06:00,189
20-02-19 05:00,193
20-02-19 04:00,191
20-02-19 03:00,189
20-02-19 02:00,192
20-02-19 01:00,186
20-02-19 00:00,189
