Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-11-14,27.39
29-11-14,23.39
28-11-14,20.12
27-11-14,22.05
26-11-14,21.18
25-11-14,21.94
24-11-14,25.77
23-11-14,22.80
22-11-14,20.47
21-11-14,18.04
20-11-14,16.86
19-11-14,11.90
18-11-14,24.61
17-11-14,17.37
16-11-14,13.77
15-11-14,21.47
14-11-14,23.89
13-11-14,23.50
12-11-14,28.36
11-11-14,22.44
10-11-14,23.94
09-11-14,14.71
08-11-14,16.20
07-11-14,29.22
06-11-14,29.52
05-11-14,21.30
04-11-14,30.08
03-11-14,19.64
02-11-14,21.04
01-11-14,35.64

