Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-11-14,30.54
29-11-14,25.52
28-11-14,20.82
27-11-14,23.05
26-11-14,22.39
25-11-14,18.39
24-11-14,26.31
23-11-14,24.57
22-11-14,21.10
21-11-14,13.65
20-11-14,16.00
19-11-14,12.08
18-11-14,22.78
17-11-14,15.35
16-11-14,13.43
15-11-14,21.12
14-11-14,22.72
13-11-14,20.17
12-11-14,27.37
11-11-14,21.24
10-11-14,18.85
09-11-14,14.79
08-11-14,14.68
07-11-14,22.93
06-11-14,24.21
05-11-14,
04-11-14,28.08
03-11-14,19.20
02-11-14,21.47
01-11-14,38.05

