Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-11-14,34.26
29-11-14,37.90
28-11-14,31.92
27-11-14,25.06
26-11-14,21.10
25-11-14,14.54
24-11-14,10.82
23-11-14,15.29
22-11-14,19.82
21-11-14,16.84
20-11-14,25.42
19-11-14,16.74
18-11-14,27.10
17-11-14,12.76
16-11-14,18.03
15-11-14,28.67
14-11-14,27.55
13-11-14,15.96
12-11-14,14.99
11-11-14,16.42
10-11-14,9.89
09-11-14,16.78
08-11-14,11.50
07-11-14,19.76
06-11-14,21.65
05-11-14,20.07
04-11-14,14.05
03-11-14,11.82
02-11-14,13.21
01-11-14,18.41

