Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-11-14,32.29
29-11-14,27.70
28-11-14,20.66
27-11-14,21.78
26-11-14,22.89
25-11-14,20.11
24-11-14,27.57
23-11-14,24.29
22-11-14,18.91
21-11-14,16.36
20-11-14,15.90
19-11-14,13.03
18-11-14,22.14
17-11-14,15.71
16-11-14,13.56
15-11-14,20.85
14-11-14,25.43
13-11-14,20.17
12-11-14,29.12
11-11-14,23.76
10-11-14,24.86
09-11-14,16.61
08-11-14,16.22
07-11-14,24.16
06-11-14,26.29
05-11-14,19.79
04-11-14,30.01
03-11-14,20.70
02-11-14,21.25
01-11-14,35.91

