Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-11-14,14.73
29-11-14,19.67
28-11-14,17.49
27-11-14,23.89
26-11-14,19.57
25-11-14,15.08
24-11-14,13.08
23-11-14,10.64
22-11-14,15.63
21-11-14,13.83
20-11-14,8.72
19-11-14,4.78
18-11-14,6.34
17-11-14,10.38
16-11-14,12.47
15-11-14,20.20
14-11-14,24.27
13-11-14,17.55
12-11-14,23.81
11-11-14,16.67
10-11-14,12.05
09-11-14,11.10
08-11-14,16.77
07-11-14,14.14
06-11-14,15.43
05-11-14,20.16
04-11-14,18.18
03-11-14,11.28
02-11-14,13.21
01-11-14,15.17

