Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-11-14,35.48
29-11-14,37.46
28-11-14,34.20
27-11-14,27.69
26-11-14,
25-11-14,18.74
24-11-14,15.16
23-11-14,19.09
22-11-14,23.81
21-11-14,21.30
20-11-14,31.29
19-11-14,19.79
18-11-14,32.27
17-11-14,17.32
16-11-14,18.12
15-11-14,29.56
14-11-14,29.22
13-11-14,19.70
12-11-14,21.42
11-11-14,20.82
10-11-14,14.50
09-11-14,19.63
08-11-14,17.19
07-11-14,24.12
06-11-14,26.33
05-11-14,27.00
04-11-14,18.93
03-11-14,13.75
02-11-14,15.29
01-11-14,21.76

