Datum Zeit,Leipzig-Mitte PM10
,µg/m³
30-11-14,44
29-11-14,48
28-11-14,41
27-11-14,37
26-11-14,
25-11-14,32
24-11-14,23
23-11-14,24
22-11-14,26
21-11-14,28
20-11-14,39
19-11-14,21
18-11-14,38
17-11-14,24
16-11-14,24
15-11-14,40
14-11-14,44
13-11-14,33
12-11-14,35
11-11-14,33
10-11-14,26
09-11-14,27
08-11-14,28
07-11-14,32
06-11-14,37
05-11-14,40
04-11-14,30
03-11-14,24
02-11-14,25
01-11-14,36

