Datum Zeit,Collmberg PM2.5
,µg/m³
30-11-14,34.90
29-11-14,37.13
28-11-14,33.54
27-11-14,23.36
26-11-14,16.37
25-11-14,10.02
24-11-14,11.01
23-11-14,15.77
22-11-14,19.74
21-11-14,11.15
20-11-14,4.55
19-11-14,1.91
18-11-14,5.41
17-11-14,11.13
16-11-14,18.30
15-11-14,25.52
14-11-14,25.53
13-11-14,5.11
12-11-14,15.24
11-11-14,18.34
10-11-14,7.15
09-11-14,12.41
08-11-14,8.39
07-11-14,21.07
06-11-14,19.14
05-11-14,21.27
04-11-14,18.07
03-11-14,10.59
02-11-14,10.67
01-11-14,12.51

