Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-08-12,19.63
30-08-12,10.97
29-08-12,11.70
28-08-12,9.44
27-08-12,7.57
26-08-12,5.58
25-08-12,10.07
24-08-12,17.14
23-08-12,13.87
22-08-12,13.78
21-08-12,20.52
20-08-12,14.29
19-08-12,18.47
18-08-12,14.05
17-08-12,12.32
16-08-12,13.84
15-08-12,10.32
14-08-12,8.90
13-08-12,7.21
12-08-12,9.16
11-08-12,6.89
10-08-12,7.02
09-08-12,10.15
08-08-12,8.50
07-08-12,5.94
06-08-12,10.17
05-08-12,14.00
04-08-12,14.46
03-08-12,13.24
02-08-12,12.31
01-08-12,7.35

