Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-08-12,13.53
30-08-12,7.89
29-08-12,9.04
28-08-12,7.35
27-08-12,4.05
26-08-12,2.84
25-08-12,7.27
24-08-12,9.29
23-08-12,11.10
22-08-12,13.07
21-08-12,19.04
20-08-12,8.82
19-08-12,10.56
18-08-12,11.96
17-08-12,7.80
16-08-12,12.49
15-08-12,9.83
14-08-12,10.78
13-08-12,11.56
12-08-12,5.80
11-08-12,7.71
10-08-12,9.34
09-08-12,9.47
08-08-12,5.86
07-08-12,4.16
06-08-12,4.47
05-08-12,8.36
04-08-12,11.98
03-08-12,10.46
02-08-12,11.19
01-08-12,8.43

