Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-08-12,21.33
30-08-12,13.35
29-08-12,15.18
28-08-12,11.90
27-08-12,8.39
26-08-12,5.65
25-08-12,11.02
24-08-12,19.31
23-08-12,16.19
22-08-12,15.15
21-08-12,24.50
20-08-12,15.92
19-08-12,18.23
18-08-12,17.42
17-08-12,16.70
16-08-12,16.02
15-08-12,12.78
14-08-12,11.22
13-08-12,9.33
12-08-12,7.62
11-08-12,8.33
10-08-12,7.36
09-08-12,11.11
08-08-12,8.77
07-08-12,6.48
06-08-12,12.75
05-08-12,15.91
04-08-12,16.43
03-08-12,17.25
02-08-12,14.74
01-08-12,9.67

