Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-08-12,22.43
30-08-12,14.10
29-08-12,13.32
28-08-12,13.52
27-08-12,8.08
26-08-12,5.28
25-08-12,9.53
24-08-12,23.48
23-08-12,14.82
22-08-12,15.22
21-08-12,17.67
20-08-12,22.78
19-08-12,12.95
18-08-12,14.78
17-08-12,16.37
16-08-12,15.77
15-08-12,9.34
14-08-12,9.48
13-08-12,8.82
12-08-12,10.99
11-08-12,7.13
10-08-12,7.41
09-08-12,15.05
08-08-12,10.62
07-08-12,8.32
06-08-12,10.42
05-08-12,16.16
04-08-12,13.07
03-08-12,16.32
02-08-12,18.10
01-08-12,12.18

