Datum Zeit,Glauchau PM10
,µg/m³
31-08-12,22
30-08-12,16
29-08-12,20
28-08-12,
27-08-12,
26-08-12,
25-08-12,
24-08-12,
23-08-12,26
22-08-12,22
21-08-12,32
20-08-12,
19-08-12,
18-08-12,23
17-08-12,19
16-08-12,23
15-08-12,23
14-08-12,21
13-08-12,16
12-08-12,15
11-08-12,14
10-08-12,17
09-08-12,20
08-08-12,15
07-08-12,12
06-08-12,13
05-08-12,18
04-08-12,19
03-08-12,22
02-08-12,20
01-08-12,14

