Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-08-12,17.61
30-08-12,12.54
29-08-12,11.47
28-08-12,9.59
27-08-12,6.63
26-08-12,4.04
25-08-12,7.74
24-08-12,14.60
23-08-12,13.25
22-08-12,13.71
21-08-12,21.11
20-08-12,13.89
19-08-12,13.33
18-08-12,14.36
17-08-12,11.70
16-08-12,17.34
15-08-12,10.34
14-08-12,10.02
13-08-12,7.22
12-08-12,7.93
11-08-12,6.22
10-08-12,7.04
09-08-12,12.12
08-08-12,9.57
07-08-12,6.52
06-08-12,8.92
05-08-12,12.75
04-08-12,11.50
03-08-12,13.24
02-08-12,14.37
01-08-12,11.88

