Datum Zeit,Collmberg PM2.5
,µg/m³
31-08-12,13.05
30-08-12,8.02
29-08-12,7.78
28-08-12,5.90
27-08-12,4.15
26-08-12,3.16
25-08-12,6.34
24-08-12,14.10
23-08-12,9.11
22-08-12,
21-08-12,
20-08-12,11.57
19-08-12,10.41
18-08-12,9.42
17-08-12,8.45
16-08-12,10.55
15-08-12,7.21
14-08-12,6.39
13-08-12,6.21
12-08-12,5.87
11-08-12,3.95
10-08-12,3.61
09-08-12,6.50
08-08-12,6.01
07-08-12,3.45
06-08-12,6.97
05-08-12,12.34
04-08-12,9.88
03-08-12,9.04
02-08-12,9.27
01-08-12,6.42

