Datum Zeit,Leipzig-West PM10
,µg/m³
31-08-12,24
30-08-12,14
29-08-12,20
28-08-12,15
27-08-12,9
26-08-12,6
25-08-12,11
24-08-12,25
23-08-12,18
22-08-12,19
21-08-12,26
20-08-12,27
19-08-12,17
18-08-12,19
17-08-12,19
16-08-12,18
15-08-12,13
14-08-12,12
13-08-12,10
12-08-12,13
11-08-12,9
10-08-12,10
09-08-12,13
08-08-12,12
07-08-12,10
06-08-12,11
05-08-12,19
04-08-12,18
03-08-12,16
02-08-12,19
01-08-12,17

