Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-08-12,14.72
30-08-12,9.14
29-08-12,8.91
28-08-12,6.88
27-08-12,4.29
26-08-12,3.85
25-08-12,7.50
24-08-12,17.85
23-08-12,9.76
22-08-12,11.14
21-08-12,15.96
20-08-12,15.54
19-08-12,11.32
18-08-12,12.62
17-08-12,11.32
16-08-12,11.05
15-08-12,7.35
14-08-12,7.32
13-08-12,6.45
12-08-12,9.75
11-08-12,5.46
10-08-12,4.03
09-08-12,7.81
08-08-12,6.28
07-08-12,4.14
06-08-12,6.55
05-08-12,13.36
04-08-12,9.11
03-08-12,10.10
02-08-12,10.79
01-08-12,7.13

