Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-08-12,14.83
30-08-12,9.48
29-08-12,10.90
28-08-12,7.86
27-08-12,5.71
26-08-12,4.09
25-08-12,8.05
24-08-12,14.48
23-08-12,12.50
22-08-12,12.92
21-08-12,17.87
20-08-12,12.21
19-08-12,16.83
18-08-12,13.98
17-08-12,10.23
16-08-12,11.39
15-08-12,8.99
14-08-12,8.44
13-08-12,6.75
12-08-12,6.69
11-08-12,6.01
10-08-12,4.83
09-08-12,8.79
08-08-12,6.52
07-08-12,4.10
06-08-12,8.15
05-08-12,12.68
04-08-12,13.41
03-08-12,11.17
02-08-12,10.79
01-08-12,6.08

