Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-07-10,16.59
30-07-10,14.10
29-07-10,13.54
28-07-10,13.07
27-07-10,17.33
26-07-10,12.76
25-07-10,5.64
24-07-10,7.06
23-07-10,9.98
22-07-10,24.74
21-07-10,22.33
20-07-10,15.62
19-07-10,12.95
18-07-10,7.35
17-07-10,14.10
16-07-10,19.49
15-07-10,14.06
14-07-10,16.99
13-07-10,15.42
12-07-10,16.00
11-07-10,14.98
10-07-10,19.45
09-07-10,22.32
08-07-10,16.37
07-07-10,11.87
06-07-10,11.74
05-07-10,18.91
04-07-10,19.97
03-07-10,17.73
02-07-10,21.26
01-07-10,18.01

