Datum Zeit,Leipzig-West PM10
,µg/m³
31-07-10,16
30-07-10,11
29-07-10,12
28-07-10,18
27-07-10,17
26-07-10,14
25-07-10,8
24-07-10,14
23-07-10,13
22-07-10,26
21-07-10,20
20-07-10,17
19-07-10,15
18-07-10,9
17-07-10,15
16-07-10,20
15-07-10,19
14-07-10,21
13-07-10,
12-07-10,29
11-07-10,22
10-07-10,22
09-07-10,21
08-07-10,17
07-07-10,13
06-07-10,11
05-07-10,17
04-07-10,19
03-07-10,19
02-07-10,21
01-07-10,20

